time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.5876533251143355,0.0,0.0017732278145332842,0.5446987505186945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775322418220752,0.0,1.1102230246251565e-16,0.0,0.354813
1.0,1.2096018486860602,0.0,0.274821448,0.5876533251143355,0.0,0.0,0.5526913427847379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06925718078698681,0.0,0.0,0.0,0.354813
2.0,1.1913018663909964,0.0,0.276146649,0.5876533251143355,0.0,0.0,0.5553564445279966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048292096748664186,0.0,0.0,0.0,0.354813
3.0,1.1677984021187497,0.0,0.273340059,0.5876533251143355,0.0,0.0,0.5497121325318447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03043294447256946,0.0,1.1102230246251565e-16,0.0,0.354813
4.0,1.1480487254621414,0.0,0.262454067,0.5876533251143355,0.0,0.0,0.5278193960667348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032576004281070985,0.0,0.0,0.0,0.354813
5.0,1.1281941226257464,0.0,0.252559161,0.5876533251143355,0.0,0.0,0.5079198251865582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326209723248526,0.0,0.0,0.0,0.354813
6.0,1.1155580126885627,0.0,0.247681079,0.5876533251143355,0.0,0.0,0.49810955124173106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029795136332496093,0.0,0.0,0.0,0.354813
7.0,1.1080311653018147,0.0,0.245285879,0.5876533251143355,0.0,0.0,0.4932925825739945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708525761348462,0.0,0.0,0.0,0.354813
8.0,1.1010910479816296,0.0,0.242146792,0.5876533251143355,0.0,0.0,0.4869795883671227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026458134500171388,0.0,0.0,0.0,0.354813
9.0,1.1046799516004602,0.0,0.240808832,0.5876533251143355,0.0,0.0,0.48428882709512666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03273779939099799,0.0,0.0,0.0,0.354813
10.0,1.1162667997397757,0.0,0.241095621,0.5876533251143355,0.0,0.0,0.48486558629154103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043747888333899046,0.0,-5.551115123125783e-17,0.0,0.354813
11.0,1.1340400097852976,0.0,0.239250483,0.5876533251143355,0.0,0.0,0.48115484316626955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06523184150469251,0.0,0.0,0.0,0.354813
12.0,1.156661237607092,0.0,0.233797563,0.5876533251143355,0.0,0.0,0.47018851685211027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09881939564064618,0.0,0.0,0.0,0.354813
13.0,1.1776850178753973,0.0,0.228031707,0.5876533251143355,0.0,0.0,0.4585928473069027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13143884545415893,0.0,0.0,0.0,0.354813
14.0,1.1889313912680575,0.073691983,0.222339816,0.5876533251143355,0.0,0.0645940863357726,0.44714592821573207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08953805160221716,0.0,0.0,0.0,0.354813
15.0,1.1938672044192535,0.392796165,0.197158781,0.4530604994906153,0.0,0.34430216641571953,0.3965045385129186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.12058999999999999
16.0,1.1898971403922178,0.566870317,0.165461781,0.36025280310697494,0.0,0.49688539657678615,0.33275894070845674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
17.0,1.1807492905952939,0.584959422,0.144656312,0.37709082274588807,0.0,0.5127412490391476,0.29091721881025817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
18.0,1.1644086441064532,0.548865303,0.140981722,0.39977811217893255,0.0,0.48110325337142834,0.2835272785560922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
19.0,1.1518346333368983,0.529070696,0.14460458,0.3972689948503675,0.0,0.46375245751157623,0.2908131809749545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.12058999999999999
20.0,1.1426996316436218,0.545293524,0.149326342,0.3644181100918451,0.0,0.47797244060583477,0.300309080945942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.12058999999999999
21.0,1.1557918492602868,0.568797545,0.152196335,0.35113625499274514,0.0,0.4985746920300068,0.3060809022375349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.12058999999999999
22.0,1.2064347911369846,0.499665692,0.157201758,0.4523097712340642,0.0,0.4379777491952084,0.31614727070771204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.12058999999999999
