time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.6625647137572871,0.0,0.0018322544780437476,0.5346838164963346,0.0,0.0,0.01257676053797345,0.0754605632278407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
1.0,1.2096018486860602,0.0,0.274821448,0.6544956326954712,0.0,0.0,0.5425294554526157,0.0,0.0,0.01257676053797345,0.06288277478871314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
2.0,1.1913018663909964,0.0,0.276146649,0.633579549720757,0.0,0.0,0.5451455561322659,0.0,0.0,0.01257676053797345,0.05030515768044635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
3.0,1.1677984021187497,0.0,0.273340059,0.6156166200591089,0.0,0.0,0.5396050215216676,0.0,0.0,0.01257676053797345,0.03772771190070653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
4.0,1.1480487254621414,0.0,0.262454067,0.6224344367480036,0.0,0.0,0.5181148090407933,0.0,0.0,0.007499479673344624,0.025150437447159883,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.12058999999999999
5.0,1.1281941226257464,0.0,0.252559161,0.629613007199488,0.0,0.0,0.4985811154262584,0.0,0.0,0.0,0.017650615182101485,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.12058999999999999
6.0,1.1155580126885627,0.0,0.247681079,0.626606797658991,0.0,0.0,0.48895121502957173,0.0,0.0,0.0,0.01765037475071666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
7.0,1.1080311653018147,0.0,0.245285879,0.6238083532449983,0.0,0.0,0.48422281205681644,0.0,0.0,0.0,0.017650134322606918,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.12058999999999999
8.0,1.1010910479816296,0.0,0.242146792,0.6230651582288118,0.0,0.0,0.47802588975281785,0.0,0.0,0.0,0.017649893897772218,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.12058999999999999
9.0,1.1046799516004602,0.0,0.240808832,0.6292953502750921,0.0,0.0,0.47538460132536814,0.0,0.0,0.0,0.017649653476212508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
10.0,1.1162667997397757,0.0,0.241095621,0.6403160436214242,0.0,0.0,0.4759507561183514,0.0,0.0,0.0,0.017649413057927752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
