time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.270847194,0.40586858051782526,0.0,0.0011946145564213286,0.5923902855504727,0.0,0.0,0.0005465193752808063,0.0032791162516848382,0.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0,0.12058999999999999
1.0,1.0,0.0,0.274821448,0.39837080499576516,0.0,0.0,0.6010826756289541,0.0,0.0,0.0005465193752808063,0.002732552209266187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
2.0,1.0,0.0,0.276146649,0.3954723581364569,0.0,0.0,0.6039811224882623,0.0,0.0,0.0005465193752808063,0.0021859956119789515,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.12058999999999999
3.0,1.0,0.0,0.273340059,0.40161086238665455,0.0,0.0,0.5978426182380647,0.0,0.0,0.0005465193752808063,0.0016394464597217176,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.12058999999999999
4.0,1.0,0.0,0.262454067,0.4254204349140338,0.0,0.0,0.5740330457106855,0.0,0.0,0.0005465193752808063,0.001092904752393071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
5.0,1.0,0.0,0.252559161,0.4470624849764164,0.0,0.0,0.5523911519761869,0.0,0.0,0.0005463630473966968,0.000546370489891599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
6.0,1.0,0.0,0.247681079,0.4582780683551805,0.0,0.0,0.5417219316448195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.12058999999999999
7.0,1.0,0.0,0.245285879,0.46351679056970885,0.0,0.0,0.5364832094302912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
8.0,1.0,0.0,0.242146792,0.47038252403674186,0.0,0.0,0.5296174759632581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
9.0,1.0,0.0,0.240808832,0.47330887706536184,0.0,0.0,0.5266911229346382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.12058999999999999
10.0,1.0,0.0,0.241095621,0.4726816192559169,0.0,0.0,0.5273183807440831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
11.0,1.0,0.0,0.239250483,0.47671725946528165,0.0,0.0,0.5232827405347183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
12.0,1.0,0.0,0.233797563,0.48864375125638326,0.0,0.0,0.5113562487436167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.12058999999999999
13.0,1.0,0.0,0.228031707,0.5012546889287998,0.0,0.0,0.49874531107120024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058999999999999
