time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0020296840737244557,0.6461719469182076,0.0,0.0,0.01533143667228943,0.09198862003373658,0.0,0.0,0.0,0.5481244776054174,0.0,0.0,0.0,0.223872
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6556534977764655,0.0,0.0,0.01533143667228943,0.07665593032006163,0.0,0.0,0.0,0.5386169142373053,0.0,1.1102230246251565e-16,0.0,0.223872
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6588150875185692,0.0,0.0,0.01533143667228943,0.061323449463686154,0.0,0.0,0.0,0.5171553422001377,0.0,0.0,0.0,0.223872
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6521192835203149,0.0,0.0,0.01533143667228943,0.045991177461765176,0.0,0.0,0.0,0.5003476819261454,0.0,0.0,0.0,0.223872
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6261480982889256,0.0,0.0,0.01533143667228943,0.03065911431145372,0.0,0.0,0.0,0.5065691905009264,0.0,0.0,0.0,0.223872
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6025413900924482,0.0,0.0,0.015327051226569199,0.015327260009906876,0.0,0.0,0.0,0.5103256813067288,0.0,0.0,0.0,0.223872
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.590903537410221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246544752783417,0.0,0.0,0.0,0.223872
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5851892044522118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5228419608496029,0.0,0.0,0.0,0.223872
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5777001478798346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523390900101795,0.0,0.0,0.0,0.223872
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.5745081184357389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5301718331647213,0.0,0.0,0.0,0.223872
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.575192323443544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5410744762962317,0.0,-1.1102230246251565e-16,0.0,0.223872
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.5707902973557538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5632497124295438,0.0,-1.1102230246251565e-16,0.0,0.223872
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5577810286210396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5988802089860523,0.0,1.1102230246251565e-16,0.0,0.223872
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5440251748418419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336598430335554,0.0,0.0,0.0,0.223872
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.07393612214852793,0.5304457825845375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845494865349922,1.3877787807814457e-17,0.0,0.0,0.223872
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.3940974859492291,0.47037029067685493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293994277931694,5.551115123125783e-17,-5.551115123125783e-17,0.0,0.223872
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.5687483399664622,0.39474937727922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22639942314653552,0.0,-5.551115123125783e-17,0.0,0.223872
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.5868973735843734,0.3451128637465141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24873905326440643,0.0,0.0,0.0,0.223872
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.5506836759393055,0.3363462343443052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27737873382284245,-1.1102230246251565e-16,0.0,0.0,0.223872
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.5308234900486081,0.34498944446103325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760216988272569,0.0,0.0,0.0,0.223872
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.5471000637513751,0.35625435771106456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23934521018118213,0.0,0.0,0.0,0.223872
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.5706819528102918,0.3631014250078062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22200847144218896,-1.1102230246251565e-16,-5.551115123125783e-17,0.0,0.223872
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.5013210682244871,0.3750430806598089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300706422526887,0.0,0.0,0.0,0.223872
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.19310058956133644,0.4334477313846491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291032725628394,-2.7755575615628914e-17,0.0,0.0,0.223872
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.001868005205568275,0.4842333526140914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7988310639015107,0.0,-5.551115123125783e-17,0.0,0.223872
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.5039309985273794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881064245107839,0.0,0.0,0.0,0.223872
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.5055294323933899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727840745987795,0.0,0.0,0.0,0.223872
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.5113980108293275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7370565032863652,0.0,0.0,0.0,0.223872
