time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0034810144293432573,0.9028854384990962,0.0,0.0,0.25349346656146254,1.520960799368775,0.0,0.0,0.0,0.05179762577973669,0.0,1.1102230246251565e-16,0.0,1.25893
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.9161338536386557,0.0,0.0,0.25349346656146254,1.2674466147355918,0.0,0.0,0.0,0.03997452848594202,0.0,0.0,0.0,1.25893
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.9205514910094325,0.0,0.0,0.25349346656146254,1.0139358833965773,0.0,0.0,0.0,0.017256908820101318,0.0,1.1102230246251565e-16,0.0,1.25893
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.9111955541602689,0.0,0.0,0.25349346656146254,0.7604286053046919,0.0,0.0,0.0,0.0031093813970183106,0.0,0.0,0.0,1.25893
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.8749064439972237,0.0,0.0,0.25349346656146254,0.5069247804128965,0.0,0.0,0.0,0.01964881490345508,0.0,0.0,0.0,1.25893
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.8419211787235603,0.0,0.0,0.253420956602885,0.25342440867415267,0.0,0.0,0.0,0.03285198729930103,0.0,0.0,0.0,1.25893
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.8256597984945131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898982141940497,0.0,0.0,0.0,1.25893
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.8176752549947085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903559103071062,0.0,-1.1102230246251565e-16,0.0,1.25893
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.8072109193646269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938801286170028,0.0,0.0,0.0,1.25893
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.8027507490986788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30192920250178135,0.0,0.0,0.0,1.25893
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.8037067775078995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125600222318761,0.0,0.0,0.0,1.25893
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.7975558988238053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33648411096149233,0.0,0.0,0.0,1.25893
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.7793782614904073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772829761166847,0.0,0.0,0.0,1.25893
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.7601574331480518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41752758472734536,0.0,0.0,0.0,1.25893
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.12680431963799876,0.7411831715892481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209439000408105,0.0,0.0,0.0,1.25893
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.6758978172597161,0.5260086469637554,0.0,0.008039259804218065,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.1312320274112292,0.0,1.05e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.9754331739201765,0.4679574330335037,0.0,0.25349346656146254,0.0,0.007235333823796259,0.0,0.0,0.0,0.0,0.0,0.08361938224273813,0.0,1.05e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,1.0065597165779485,0.42768304057880785,0.0,0.25349346656146254,0.0,0.2353793551715658,0.0,0.0,0.0,0.0,0.0,0.054537490351935614,0.0,1.05e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.9444513295268366,0.4699710637885644,0.0,0.2500137492089479,0.0,0.46352026880991976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500429095239959e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.9103900711517353,0.482048079192128,0.0,0.24060351700696514,0.0,0.6885263291639272,0.0,0.0,0.0,0.0,1.1102230246251565e-16,-5.551115123125783e-17,0.0,1.050057213088335e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.9383052470419577,0.4578878511631267,0.0,0.25349346656146254,0.0,0.905060115571098,0.0,0.0,0.0,0.0,0.0,0.03990050612048618,0.0,1.05e-08
