time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.270847194,0.0,0.0,0.002096426487701001,0.8076769958697123,0.0,0.0,0.19022657764258666,1.210267275361087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619541423591847
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,0.8195283777656724,0.0,0.0,0.18047162223432753,1.0200242380835554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619617850394611
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,0.8234801793213626,0.0,0.0,0.17651982067863733,0.83953874351959,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.5619694278236795
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,0.8151108174447986,0.0,0.0,0.18488918255520143,0.6630075051140407,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.5619770707118412
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,0.7826483607149654,0.0,0.0,0.20171121256018115,0.4781093056567699,0.0,0.0,0.0,0.015640426724853516,0.0,0.0,0.0,0.562
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,0.7531413614565821,0.0,0.0,0.20171121256018115,0.27639159081003184,0.0,0.0,0.0,0.045147425983236816,0.0,-1.1102230246251565e-16,0.0,0.562
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,0.7385947288805542,0.0,0.0,0.07467560372219288,0.0746766193242157,0.0,0.0,0.0,0.18672966739725294,0.0,0.0,0.0,0.562
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,0.731452148180578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268547851819422,0.0,0.0,0.0,0.562
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,0.7220912671594747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790873284052525,0.0,0.0,0.0,0.562
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,0.7181014177634575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28189858223654246,0.0,1.1102230246251565e-16,0.0,0.562
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,0.7189566338524546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28104336614754544,0.0,0.0,0.0,0.562
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,0.7134543596926379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28654564030736207,0.0,0.0,0.0,0.562
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,0.6971935375690095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30280646243099046,0.0,0.0,0.0,0.562
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,0.6799995279729663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200004720270337,0.0,1.1102230246251565e-16,0.0,0.562
14.0,1.0,0.073691983,0.222339816,0.0,0.0,0.07636737503962561,0.6630260849189548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606065400414197,-1.3877787807814457e-17,-1.1102230246251565e-16,0.0,0.562
15.0,1.0,0.392796165,0.197158781,0.0,0.0,0.40705665427244175,0.5879352471615952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050080985659630125,0.0,0.0,0.0,0.562
16.0,1.0,0.566870317,0.165461781,0.0,0.0,0.5874505792193223,0.4934135452381029,0.0,0.08086412445742518,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,0.5057518498045639
17.0,1.0,0.584959422,0.144656312,0.0,0.0,0.6061964103047222,0.4313708175605165,0.0,0.037567227865238646,0.0,0.07277771201168266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057587281232663
18.0,1.0,0.548865303,0.140981722,0.0,0.0,0.5687918920629228,0.4204130455104472,0.0,0.0,0.010795062426629944,0.10658722731351408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619617850394611
19.0,1.0,0.529070696,0.14460458,0.0,0.0,0.5482786406210258,0.4312165506998071,0.0,0.0,0.020504808679167114,0.09579071530059269,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.5619694278236795
20.0,1.0,0.545293524,0.149326342,0.0,0.0,0.5650904394035248,0.4452970308814543,0.0,0.010387470284979066,0.0,0.07528460386769747,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.5057793636406571
21.0,1.0,0.568797545,0.152196335,0.0,0.0,0.5894477753520804,0.4538554630002197,0.0,0.04330323835230005,0.0,0.08463230325356604,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.5057862423335528
22.0,1.0,0.499665692,0.157201758,0.0,0.0,0.5178060861165596,0.46878183145171337,0.0,0.0,0.013412082431726929,0.12360406677131183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5619923568
23.0,1.0,0.192462966,0.181682449,0.0,0.0,0.19945034598622094,0.5417842158282512,0.0,0.0,0.11018880473615161,0.1101903033242768,0.0,0.0,0.0,0.14857663344937627,-2.7755575615628914e-17,0.0,0.0,0.562
24.0,1.0,0.001861837,0.202969574,0.0,0.0,0.0019294311084239843,0.6052632606608259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928073082307501,-2.168404344971009e-19,0.0,0.0,0.562
25.0,1.0,0.0,0.211225971,0.0,0.0,0.0,0.6298841615724584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37011583842754164,0.0,0.0,0.0,0.562
26.0,1.0,0.0,0.211895965,0.0,0.0,0.0,0.6318821100583885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681178899416116,0.0,0.0,0.0,0.562
27.0,1.0,0.0,0.214355818,0.0,0.0,0.0,0.639217488549779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36078251145022094,0.0,1.1102230246251565e-16,0.0,0.562
28.0,1.0,0.0,0.221920502,0.0,0.0,0.0,0.6617756740623958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33822432593760426,0.0,0.0,0.0,0.562
29.0,1.0,0.0,0.228137587,0.0,0.0,0.0,0.6803152663015041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319684733698496,0.0,0.0,0.0,0.562
30.0,1.0,0.0,0.239214475,0.0,0.0,0.0,0.7133469824189886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28665301758101136,0.0,0.0,0.0,0.562
31.0,1.0,0.0,0.255139109,0.0,0.0,0.0,0.7608348679661605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391651320338395,0.0,0.0,0.0,0.562
