time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.270847194,0.0,0.0,0.0032592458825100802,0.9242012769518086,0.0,0.0,0.07253947716568128,2.080232258195082,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1667460032369022e-08
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,0.9377624682917892,0.0,0.0,0.062237531708210815,2.007664489870689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1667618711983504e-08
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,0.9422843997850793,0.0,0.0,0.057715600214920774,1.9453996539254164,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1667777393756058e-08
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,0.932707582600552,0.0,0.0,0.067292417399448,1.8876575962752025,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1667936077686714e-08
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,0.895561738264106,0.0,0.0,0.10443826173589404,1.820339506732445,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1668094763775502e-08
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,0.8617977378863942,0.0,0.0,0.1382022621136057,1.7158764883792594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166825345202245e-08
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,0.8451524496451006,0.0,0.0,0.15484755035489942,1.5776508903454118,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1668412142427586e-08
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,0.8369794024524648,0.0,0.0,0.16302059754753515,1.4227818839384039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166857083499094e-08
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,0.8262680187714405,0.0,0.0,0.17373198122855946,1.259741936557247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1668729529712544e-08
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,0.8217025502419403,0.0,0.0,0.1782974497580597,1.0859928228383504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1668888226592423e-08
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,0.8226811491194157,0.0,0.0,0.17731885088058436,0.9076806035779003,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1669046925630612e-08
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,0.8163850569555355,0.0,0.0,0.1836149430444645,0.7303494082411073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1669205626827136e-08
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,0.7977782715106176,0.0,0.0,0.20222172848938233,0.5467245324446909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1669364330182026e-08
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,0.778103666803728,0.0,0.0,0.22189633319627197,0.3444953685016673,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.1669523035695311e-08
14.0,1.0,0.073691983,0.222339816,0.0,0.0,0.11872586714402443,0.7586814499707542,0.0,0.0,0.12259268288522143,0.12259435016838371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1669681743367019e-08
15.0,1.0,0.392796165,0.197158781,0.0,0.0,0.6328377036681493,0.3671622963318507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055948936963464,0.0,1.05e-08
16.0,1.0,0.566870317,0.165461781,0.0,0.0,0.9132902549797447,0.08670974502025525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.47788901278308565,0.0,1.05e-08
17.0,1.0,0.584959422,0.144656312,0.0,0.0,0.942433787146389,0.49075906556819654,0.0,0.4331928527145856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028460048595931875,0.0,1.05e-08
18.0,1.0,0.548865303,0.140981722,0.0,0.0,0.8842822026371948,0.4810664108237536,0.0,0.36534861346094843,0.0,0.389873567443127,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,1.0500142801942105e-08
19.0,1.0,0.529070696,0.14460458,0.0,0.0,0.8523909196892224,0.49342854734939573,0.0,0.34581946703861816,0.0,0.7186820172774634,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.0500285605826344e-08
20.0,1.0,0.545293524,0.149326342,0.0,0.0,0.8785276749157489,0.5095404309743098,0.0,0.38806810589005863,0.0,1.0299097635367849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500428411652744e-08
21.0,1.0,0.568797545,0.152196335,0.0,0.0,0.9163952306659635,0.5193335957336344,0.0,0.4357288263995978,0.0,1.3791570520650536,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.0500571219421325e-08
22.0,1.0,0.499665692,0.157201758,0.0,0.0,0.8050162331066465,0.5364134046840787,0.0,0.3414296377907252,0.0,1.7712942392887836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500714029132119e-08
23.0,1.0,0.192462966,0.181682449,0.0,0.0,0.3100789475492998,0.6199479082125245,0.0,0.0,0.06997314423817566,2.0785568236987824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1667618711983504e-08
24.0,1.0,0.001861837,0.202969574,0.0,0.0,0.002999623613138881,0.6925851315009917,0.0,0.0,0.3044152448858694,2.008555411087804,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,1.1667777393756058e-08
25.0,1.0,0.0,0.211225971,0.0,0.0,0.0,0.7207581117624047,0.0,0.0,0.2792418882375953,1.7041128498483442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1667936077686714e-08
