time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.270847194,0.0,0.0,0.0,0.6282303817416405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834271635279982,0.0,-1.1102230246251565e-16,0.0,0.125893
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6374486685205623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5721531801654981,0.0,-1.1102230246251565e-16,0.0,0.125893
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6405224737825596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507793926084368,0.0,-1.1102230246251565e-16,0.0,0.125893
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6340125850107664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337858171079835,0.0,-1.1102230246251565e-16,0.0,0.125893
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.608762513895773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392862115663684,0.0,-2.220446049250313e-16,0.0,0.125893
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.5858112679113759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5423828547143703,0.0,-1.1102230246251565e-16,0.0,0.125893
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.5744965510344235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5410614616541392,0.0,-1.1102230246251565e-16,0.0,0.125893
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5689408818464771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5390902834553376,0.0,-1.1102230246251565e-16,0.0,0.125893
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5616597658961665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394312820854631,0.0,0.0,0.0,0.125893
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.5585563661188181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461235854816421,0.0,0.0,0.0,0.125893
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.5592215735381326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5570452262016431,0.0,-1.1102230246251565e-16,0.0,0.125893
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.554941773799443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790982359858546,0.0,0.0,0.0,0.125893
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5422937195123951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614367518094697,0.0,-2.220446049250313e-16,0.0,0.125893
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5289198098090981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487652080662991,0.0,-1.1102230246251565e-16,0.0,0.125893
14.0,1.1889313912680575,0.0,0.222339816,0.0,0.0,0.0,0.5157174620093945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732139292586629,0.0,-1.1102230246251565e-16,0.0,0.125893
15.0,1.1938672044192535,0.0,0.197158781,0.0,0.0,0.0,0.45731002201686644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736557182402387,0.0,-5.551115123125783e-17,0.0,0.125893
