time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.270847194,0.0,0.0,0.0,1.2116575452696388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449005961234868,0.0,1.05e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47542926704455346,0.0,1.05e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018545428196128,0.0,1.05e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081497742064176,0.0,1.05e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461153440393004,0.0,1.05e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4203387446045348,0.0,1.05e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4030655442789861,0.0,1.05e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395906541788406,0.0,1.05e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,1.4690314147384236,0.0,0.367940366756794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01565939838307928,0.0,1.05e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,1.4764872895318777,0.0,0.37180733793141746,0.0,0.3311463300811146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500143029798309e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,1.478245698099208,0.0,0.36197889835943237,0.0,0.6657684234434259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050028606154495e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,1.466932480133713,0.0,0.3328924703484153,0.0,0.9915403630691814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500429095239959e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,1.4334986272140902,0.0,0.27683738960699805,0.0,1.2911300799173917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050057213088335e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,1.3981460488781297,0.0,0.22046103100273243,0.0,1.5402661431770803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050071516847516e-08
14.0,1.1889313912680575,0.0,0.222339816,0.0,0.0,0.0,1.3632469770911742,0.0,0.1743155858231167,0.0,1.738660090036217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500858208015414e-08
15.0,1.1938672044192535,0.0,0.197158781,0.0,0.0,0.0,1.2088528138623216,0.0,0.014985609443068116,0.0,1.8955204337708735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0501001249504134e-08
16.0,1.1898971403922178,0.0,0.165461781,0.0,0.0,0.0,1.0145068788415832,0.0,0.0,0.17539026155063464,1.9089816620589422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1667938103268163e-08
17.0,1.1807492905952939,0.0,0.144656312,0.0,0.0,0.0,0.8869409159318444,0.0,0.0,0.29380837466344945,1.7335653969328015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1668097042585649e-08
18.0,1.1644086441064532,0.0,0.140981722,0.0,0.0,0.0,0.8644106566212517,0.0,0.0,0.2999979874852014,1.4397334081615847,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1668255984068187e-08
19.0,1.1518346333368983,0.0,0.14460458,0.0,0.0,0.0,0.8866237280619989,0.0,0.0,0.26521090527489927,1.1397158090598174,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1668414927715807e-08
