time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.0,0.270847194,0.0,0.0,0.0,0.9938188822696458,0.0,0.0,0.006181117730354248,2.205763888416186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1667777393756058e-08
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,1.0084016018090465,0.0,0.008401601809046508,0.0,2.1995527722969497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0501142469918045e-08
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,1.0132641582828736,0.0,0.013264158282873657,0.0,2.2070843000073888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0501285287397952e-08
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,1.0029659451258668,0.0,0.002965945125866821,0.0,2.218992026115495,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,1.0501428106820203e-08
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,0.9630220038870431,0.0,0.0,0.03697799611295691,2.2216311984372203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979296393416122
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,0.9267146518489664,0.0,0.0,0.07328534815103357,2.184622988139964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39793505125830925
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,0.908815518654108,0.0,0.0,0.09118448134589197,2.111307929116292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39794046324860943
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,0.9000268177203548,0.0,0.0,0.09997318227964526,2.020094733982564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979458753125137
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,0.8885085742133271,0.0,0.0,0.11149142578667297,1.9200940784145366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39795128745002295
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,0.8835992011750319,0.0,0.0,0.11640079882496814,1.8085765393483975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979566996611383
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,0.884651515283286,0.0,0.0,0.115348484716714,1.692151143882494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39796211194586073
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,0.8778811553703335,0.0,0.0,0.1221188446296665,1.5767796459102237,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.3979675243041913
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,0.8578727706443474,0.0,0.0,0.14212722935565258,1.4546393570773728,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.39797293673613093
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,0.8367161306931589,0.0,0.0,0.1632838693068412,1.312492344626464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979783492416805
14.0,1.0,0.0,0.222339816,0.0,0.0,0.0,0.8158308903180244,0.0,0.0,0.18416910968197558,1.1491906254237358,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.39798376182084133
15.0,1.0,0.0,0.197158781,0.0,0.0,0.0,0.7234341861524541,0.0,0.0,0.2765658138475459,0.9650058867492547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39798917447361415
16.0,1.0,0.0,0.165461781,0.0,0.0,0.0,0.6071284690945141,0.0,0.0,0.37027186640620335,0.688426948821649,0.0,0.0,0.0,0.02259966449928247,0.0,1.1102230246251565e-16,0.0,0.39799999999999996
