time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.0,0.0,0.0,0.007615811482085907,0.0,0.0,0.0,1.2040417337875526,3.6672671446015874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25117873527622037
1.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2096018486860602,2.463175456401171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511821568042057
2.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1913018663909964,1.253540055077997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511855783787987
3.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06222026578309279,0.06222111334043237,0.0,0.0,0.0,1.105578136335657,0.0,0.0,0.0,0.251189
4.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.251189
5.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1281941226257464,0.0,0.0,0.0,0.251189
6.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1155580126885627,0.0,0.0,0.0,0.251189
7.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080311653018147,0.0,0.0,0.0,0.251189
8.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1010910479816296,0.0,0.0,0.0,0.251189
9.0,1.1046799516004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1046799516004602,0.0,0.0,0.0,0.251189
10.0,1.1162667997397757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1162667997397757,0.0,0.0,0.0,0.251189
11.0,1.1340400097852976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1340400097852976,0.0,0.0,0.0,0.251189
12.0,1.156661237607092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.156661237607092,0.0,0.0,0.0,0.251189
13.0,1.1776850178753973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1776850178753973,0.0,0.0,0.0,0.251189
14.0,1.1889313912680575,0.073691983,0.0,0.0,0.0,0.2774242431564292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115071481116281,0.0,0.0,0.0,0.251189
15.0,1.1938672044192535,0.392796165,0.0,0.0,0.0,1.4787385866638014,0.0,0.0,0.2848713822445481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260300703036839
16.0,1.1898971403922178,0.566870317,0.0,0.0,0.0,2.1340661800561143,0.0,0.0,0.9441690396638965,0.0,0.2563842440200933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603314925943319
17.0,1.1807492905952939,0.584959422,0.0,0.0,0.0,2.202165260304805,0.0,0.0,1.0214159697095113,0.0,1.1061328873283434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603622825712363
18.0,1.1644086441064532,0.548865303,0.0,0.0,0.0,2.0662836726703255,0.0,0.0,0.9018750285638726,0.0,2.025392192656552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603930729675584
19.0,1.1518346333368983,0.529070696,0.0,0.0,0.0,1.9917639808124752,0.0,0.0,0.8399293474755769,0.0,2.8370521290792072,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.22604238637833035
20.0,1.1426996316436218,0.545293524,0.0,0.0,0.0,2.0528371884605434,0.0,0.0,0.9101375568169217,0.0,3.5929498963342392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260454655018478
21.0,1.1557918492602868,0.568797545,0.0,0.0,0.0,2.1413215116067645,0.0,0.0,0.9855296623464775,0.0,4.412024755383866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22604854466730862
22.0,1.2064347911369846,0.499665692,0.0,0.0,0.0,1.8810645444882852,0.0,0.0,0.6746297533513005,0.0,5.298941352218086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260516238747136
23.0,1.255651593508825,0.192462966,0.0,0.0,0.0,0.7245549719864584,0.0,0.0,0.0,0.5310966215223666,5.90603594964484,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.25117189236007015
24.0,1.2849324217211704,0.001861837,0.0,0.0,0.0,0.007009157571531718,0.0,0.0,0.0,1.2779232641496387,5.374858877872578,0.0,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0.25117531379484204
25.0,1.2920374230381633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2920374230381633,4.096862399007763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25117873527622037
26.0,1.2783135069921694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2783135069921694,2.8047691697390587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511821568042057
27.0,1.2484545141156926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2484545141156926,1.52641745702269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511855783787987
28.0,1.2128866805185698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2779383644617314,0.277942150506323,0.0,0.0,0.0,0.9349483160568384,0.0,0.0,0.0,0.251189
29.0,1.1863382156818976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1863382156818976,0.0,0.0,0.0,0.251189
30.0,1.161374350295067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.161374350295067,0.0,0.0,0.0,0.251189
31.0,1.1492864261135043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492864261135043,0.0,0.0,0.0,0.251189
32.0,1.14937208013782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14937208013782,0.0,0.0,0.0,0.251189
33.0,1.163723411911927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.163723411911927,0.0,0.0,0.0,0.251189
34.0,1.197220559471216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.197220559471216,0.0,0.0,0.0,0.251189
35.0,1.254034873799865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254034873799865,0.0,0.0,0.0,0.251189
36.0,1.309996930586572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309996930586572,0.0,0.0,0.0,0.251189
37.0,1.3374661761846387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3374661761846387,0.0,0.0,0.0,0.251189
38.0,1.340012242057425,0.086175999,0.0,0.0,0.0,0.32442214644738493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01559009561004,0.0,0.0,0.0,0.251189
39.0,1.3296117021548828,0.388952263,0.0,0.0,0.0,1.464267655638408,0.0,0.0,0.13465595348352516,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.22603622825712363
40.0,1.3074872676741198,0.521500834,0.0,0.0,0.0,1.963266128662824,0.0,0.0,0.6557788609887041,0.0,0.12119035813517264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603930729675584
41.0,1.2786496990376088,0.533686072,0.0,0.0,0.0,2.0091392384939293,0.0,0.0,0.7304895394563203,0.0,0.7113896822063049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22604238637833035
42.0,1.2542040404978885,0.519153744,0.0,0.0,0.0,1.9544301652328533,0.0,0.0,0.7002261247349648,0.0,1.3688205773801592,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.2260454655018478
43.0,1.2337969692046569,0.511316552,0.0,0.0,0.0,1.9249259102167868,0.0,0.0,0.6911289410121298,0.0,1.9990054439783687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22604854466730862
44.0,1.2222079797147334,0.52889684,0.0,0.0,0.0,1.9911094744841789,0.0,0.0,0.7689014947694456,0.0,2.6209942610368295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260516238747136
45.0,1.2350518006608828,0.549670191,0.0,0.0,0.0,2.0693137912142343,0.0,0.0,0.8342619905533514,0.0,3.3129699039318052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22605470312406314
46.0,1.281516967501579,0.453002228,0.0,0.0,0.0,1.7053931124512716,0.0,0.0,0.4238761449496926,0.0,4.063760567147681,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.22605778241535784
47.0,1.3319029473053297,0.122446832,0.0,0.0,0.0,0.46096899976897676,0.0,0.0,0.0,0.8709339475363528,4.445193742275087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25117873527622037
48.0,1.3532586369178585,0.000871135,0.0,0.0,0.0,0.0032795150601670734,0.0,0.0,0.0,1.3499791218576918,3.5741992436431356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511821568042057
49.0,1.3547532996421685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3547532996421685,2.224171435115607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511855783787987
50.0,1.3297808688529065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869375995937082,0.8693878384774014,0.0,0.0,0.0,0.46040487291582444,0.0,0.0,0.0,0.251189
51.0,1.287206536066754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287206536066754,0.0,0.0,0.0,0.251189
52.0,1.2421268230693652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2421268230693652,0.0,0.0,0.0,0.251189
