time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.0,0.0,0.0,0.014722859592626444,0.0,0.0,0.0,1.1969346856770122,16.71026880100521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259583873461615
1.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2096018486860602,15.513106493059672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259791737766728
2.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1913018663909964,14.303293329490895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.525999960490335
3.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1677984021187497,13.111796627929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5260207474871508
4.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1480487254621414,11.943819620850276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526041534767125
5.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1281941226257464,10.795608200260407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5260623223302614
6.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1155580126885627,9.66726702309844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526083110176563
7.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080311653018147,8.551577325798668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5261038983060344
8.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1010910479816296,7.443429673475995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5261246867186797
9.0,1.1046799516004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1046799516004602,6.342237233328381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5261454754145019
