time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.0,0.0,0.0,0.012509577073449046,0.0,0.0,0.0,0.9874904229265509,10.912706812047023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57978513315018
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.92506797630783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579806618520192
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.924932995383353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798281041824087
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.924811616294617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798495901368346
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.924703838856636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798710763834731
5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.924609662884428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798925629223286
6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.924529088193013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5799140497534052
7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.924462114597413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5799355368767065
8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.924408741912655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5799570242922372
9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9243689699537652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579978512
