case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,373.00149007861563,0.0,0.0,0.0,0.0,0.0,0.0,427.8819048320459,optimal,0.0,0.0,0.5794023293730473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4205976706269526,101.972975256576,0.0,0.0
exp2.95,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,336.93256733394463,0.0,0.0,0.0,0.0,0.0,0.0,382.0981921186831,optimal,0.0,0.0,0.5786615251088628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213384748911372,92.05698949856743,0.0,0.0
exp2.90,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,294.1159799282941,0.0,0.0,0.0,0.0,0.0,0.0,341.2091893183537,optimal,0.0,0.0,0.5776738493728654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4223261506271347,80.28605948668077,0.0,0.0
exp2.85,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,250.79233100760558,0.0,0.0,0.0,0.0,0.0,0.0,304.6981153613679,optimal,0.0,0.0,0.5765207132167505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42347928678324953,68.37588432873508,0.0,0.0
exp2.80,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,236.03734005276667,0.0,0.0,0.0,0.0,0.0,0.0,272.0778276153497,optimal,0.0,0.0,0.5760910407414443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42390895925855565,64.31960258335793,0.0,0.0
exp2.75,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,213.4045483625757,0.0,0.0,0.0,0.0,0.0,0.0,242.97304875818725,optimal,0.0,0.0,0.5753367879119162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4246632120880837,58.09773665644662,0.0,0.0
exp2.70,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,195.64470484168527,0.0,0.0,0.0,0.0,0.0,0.0,216.9839424613547,optimal,0.0,0.0,0.574683190688973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42531680931102706,53.215529924511486,0.0,0.0
exp2.65,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,185.52803352002053,0.0,0.0,0.0,0.0,0.0,0.0,193.78817877359054,optimal,0.0,0.0,0.5742738547616535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42572614523834645,50.434479333633575,0.0,0.0
exp2.60,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,398.107,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,170.61521719916166,0.0,0.0,0.0,0.0,0.0,0.0,173.09307846082697,optimal,0.0,0.0,0.5735789999598738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42642100004012623,46.33507054036604,0.0,0.0
exp2.55,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,354.813,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,150.84313595363582,0.0,0.0,0.0,0.0,0.0,0.0,154.6128321897088,optimal,0.0,0.0,0.5725436727659751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274563272340249,40.90000441626583,0.0,0.0
exp2.50,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,316.228,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,129.88854667005356,0.0,0.0,0.0,0.0,0.0,0.0,138.0926359287682,optimal,0.0,0.0,0.5713343490718741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428665650928126,35.13999559599089,0.0,0.0
exp2.45,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,281.838,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,116.79650972450256,0.0,0.0,0.0,0.0,0.0,0.0,123.3363455372246,optimal,0.0,0.0,0.5704785673611685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42952143263883147,31.541349627919406,0.0,0.0
exp2.40,0.0,-1.0,-1.0,0.0195287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,251.189,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.0,0.0,0.0,106.74986579007667,0.0,0.0,0.0,0.0,0.0,0.0,110.16205533561495,optimal,0.0,0.0,0.5697368546159957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43026314538400434,28.7798846212821,0.0,0.0
