time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0011873670699737897,0.5030804075789139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073897706207509,0.0,0.0,0.0,0.1
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.5104623165166234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6991395321694369,0.0,0.0,0.0,0.1
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.5129237880547187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783780783362776,0.0,0.0,0.0,0.1
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.5077107362957003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600876658230495,0.0,0.0,0.0,0.1
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.4874907398786032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6605579855835381,0.0,0.0,0.0,0.1
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.4691116189066686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6590825037190777,0.0,-5.551115123125783e-17,0.0,0.1
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.460050910377551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555071023110117,0.0,0.0,0.0,0.1
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.4556019878155805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6524291774862341,0.0,0.0,0.0,0.1
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.44977134528957496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6513197026920546,0.0,-5.551115123125783e-17,0.0,0.1
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.44728617476894444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573937768315158,0.0,0.0,0.0,0.1
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.44781886600668036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684479337330952,0.0,0.0,0.0,0.1
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.44439164653517516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896483632501225,0.0,0.0,0.0,0.1
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.4342632151655107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7223980224415812,0.0,-5.551115123125783e-17,0.0,0.1
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.4235535262679349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7541314916074623,0.0,5.551115123125783e-17,0.0,0.1
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.0432527001897537,0.41298122237257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326974687057333,0.0,-5.551115123125783e-17,0.0,0.1
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.23054739564316007,0.366209147078119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5971106616979743,-2.7755575615628914e-17,-5.551115123125783e-17,0.0,0.1
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.3327183076030352,0.3073341059764237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498447268127588,-5.551115123125783e-17,0.0,0.0,0.1
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.343335509141308,0.26868934961099333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687244318429926,-5.551115123125783e-17,0.0,0.0,0.1
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.3221504623537858,0.2618640463557364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803941353969309,0.0,0.0,0.0,0.1
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.3105322351452033,0.2685932609077636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5727091372839311,0.0,0.0,0.0,0.1
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.3200540458924312,0.2773636155729503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452819701782403,5.551115123125783e-17,0.0,0.0,0.1
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.3338494729142102,0.2826944341310655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392479422150113,0.0,0.0,0.0,0.1
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.2932732909519047,0.29199166998481735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211698302002626,0.0,-5.551115123125783e-17,0.0,0.1
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.11296402440451032,0.3374629035029074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8052246656014072,0.0,-5.551115123125783e-17,0.0,0.1
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.001092784781801712,0.3770023034244118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9068373335149568,-2.168404344971009e-19,0.0,0.0,0.1
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.39233800436541294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8996994186727504,0.0,0.0,0.0,0.1
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.3935824730623839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8847310339297855,0.0,0.0,0.0,0.1
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.39815148421420044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8503030299014922,0.0,0.0,0.0,0.1
28.0,1.2128866805185698,0.0,0.221920502,0.0,0.0,0.0,0.41220237487960526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006843056389646,0.0,0.0,0.0,0.1
29.0,1.1863382156818976,0.0,0.228137587,0.0,0.0,0.0,0.42375019123155444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762588024450343,0.0,0.0,0.0,0.1
30.0,1.161374350295067,0.0,0.239214475,0.0,0.0,0.0,0.4443247641021376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170495861929295,0.0,5.551115123125783e-17,0.0,0.1
31.0,1.1492864261135043,0.0,0.255139109,0.0,0.0,0.0,0.47390369842650437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675382727687,0.0,0.0,0.0,0.1
32.0,1.14937208013782,0.0,0.27224264,0.0,0.0,0.0,0.5056723544699507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436997256678694,0.0,0.0,0.0,0.1
33.0,1.163723411911927,0.0,0.284032874,0.0,0.0,0.0,0.5275719194555522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361514924563749,0.0,-1.1102230246251565e-16,0.0,0.1
34.0,1.197220559471216,0.0,0.297730735,0.0,0.0,0.0,0.5530147730183597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6442057864528564,0.0,0.0,0.0,0.1
35.0,1.254034873799865,0.0,0.312481376,0.0,0.0,0.0,0.5804130944731141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6736217793267509,0.0,-1.1102230246251565e-16,0.0,0.1
36.0,1.309996930586572,0.0,0.324623704,0.0,0.0,0.0,0.6029666503323521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70703028025422,0.0,-1.1102230246251565e-16,0.0,0.1
37.0,1.3374661761846387,0.0,0.341340376,0.0,0.0,0.0,0.6340167418578452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7034494343267934,0.0,0.0,0.0,0.1
38.0,1.340012242057425,0.086175999,0.350141382,0.0,0.0,0.050580056290512834,0.6503640173093475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6390681684575649,0.0,0.0,0.0,0.1
39.0,1.3296117021548828,0.388952263,0.310976023,0.0,0.0,0.22829125957521365,0.57761700273738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5237034398422892,0.0,0.0,0.0,0.1
