time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0034462827494468754,1.208211262520192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030465078920273392,0.0,1.05e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,1.2096018486860602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047250108059746276,0.0,1.05e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07161068526853565,0.0,1.05e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08227865886509389,0.0,1.05e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05224299145234412,0.0,1.05e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,1.1281941226257464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026844823595544076,0.0,1.05e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,1.1155580126885627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01717180536429419,0.0,1.05e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,1.1080311653018147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013744588471468422,0.0,1.05e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,1.1010910479816296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006328593242732827,0.0,1.05e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,1.1013006950639173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033792565365429687,0.0,0.0,0.0,3.54813
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,1.1026122787064834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013654521033292236,0.0,2.220446049250313e-16,0.0,3.54813
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,1.094173835045543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986617473975452,0.0,2.220446049250313e-16,0.0,3.54813
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,1.0692357771834131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08742546042367895,0.0,0.0,0.0,3.54813
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,1.0428665565543358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348184613210615,0.0,-2.220446049250313e-16,0.0,3.54813
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.12553913469592531,1.0168356030279797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046556653544152345,2.7755575615628914e-17,0.0,0.0,3.54813
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.669154074276681,0.5247131301425724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.376961035002893,0.0,1.05e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.9657008290981244,0.22419631129409337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325166917481441,0.0,1.05e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.996516807942441,0.1842324826528529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.47733003408649527,0.0,1.05e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.9350281047971918,0.22938053930926136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.4153768275214865,0.0,1.05e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.9013066912422613,0.25052794209463697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4107979866131018,0.0,1.05e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.9289433446003454,0.21375628704327637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.46916386530376136,0.0,1.05e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.968983988617414,0.1868078606428729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.5092377458641208,0.0,1.05e-08
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.8512133349827313,0.3552214561542533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.36371565222667895,0.0,1.05e-08
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.32787330763851613,0.8308956349433839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688265092692493,-5.551115123125783e-17,1.1102230246251565e-16,0.0,3.54813
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.003171761654518885,0.9282488979599685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535117621066831,-4.336808689942018e-19,0.0,0.0,3.54813
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.966008209689962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3260292133482013,0.0,0.0,0.0,3.54813
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.9690723201370764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309241186855093,0.0,0.0,0.0,3.54813
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.9803220645760806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26813244953961207,0.0,0.0,0.0,3.54813
28.0,1.2128866805185698,0.0,0.221920502,0.0,0.0,0.0,1.0149179374846742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19796874303389564,0.0,0.0,0.0,3.54813
29.0,1.1863382156818976,0.0,0.228137587,0.0,0.0,0.0,1.043350781807309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298743387458862,0.0,0.0,0.0,3.54813
30.0,1.161374350295067,0.0,0.239214475,0.0,0.0,0.0,1.0940091582141391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06736519208092798,0.0,0.0,0.0,3.54813
31.0,1.1492864261135043,0.0,0.255139109,0.0,0.0,0.0,1.1492864261135043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01755149982971238,0.0,1.05e-08
32.0,1.14937208013782,0.0,0.27224264,0.0,0.0,0.0,1.14937208013782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09568611049380826,0.0,1.05e-08
33.0,1.163723411911927,0.0,0.284032874,0.0,0.0,0.0,1.163723411911927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13525552901496551,0.0,1.05e-08
34.0,1.197220559471216,0.0,0.297730735,0.0,0.0,0.0,1.197220559471216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16440335886327007,0.0,1.05e-08
35.0,1.254034873799865,0.0,0.312481376,0.0,0.0,0.0,1.254034873799865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17504874296436235,0.0,1.05e-08
36.0,1.309996930586572,0.0,0.324623704,0.0,0.0,0.0,1.309996930586572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17461768209268125,0.0,1.05e-08
37.0,1.3374661761846387,0.0,0.341340376,0.0,0.0,0.0,1.3374661761846387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22359946339364245,0.0,1.05e-08
38.0,1.340012242057425,0.086175999,0.350141382,0.0,0.0,0.14680647616738618,1.1932057658900388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40810986761314005,0.0,1.05e-08
39.0,1.3296117021548828,0.388952263,0.310976023,0.0,0.0,0.6626057346705134,0.6670059674843694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.755193157995018,0.0,1.05e-08
40.0,1.3074872676741198,0.521500834,0.299015891,0.0,0.0,0.8884109339758628,0.4190763336982571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.9484250401444452,0.0,1.05e-08
41.0,1.2786496990376088,0.533686072,0.320008689,0.0,0.0,0.9091692874942353,0.3694804115433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.0940281678354467,0.0,1.05e-08
42.0,1.2542040404978885,0.519153744,0.353195172,0.0,0.0,0.884412511954115,0.36979152854377345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2454901253152504,0.0,1.05e-08
43.0,1.2337969692046569,0.511316552,0.376841343,0.0,0.0,0.8710613404688012,0.3627356287358557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3606880078802632,0.0,1.05e-08
44.0,1.2222079797147334,0.52889684,0.392067702,0.0,0.0,0.9010105161237049,0.3211974635910286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,1.4718614916748347,0.0,1.05e-08
45.0,1.2350518006608828,0.549670191,0.400366997,0.0,0.0,0.9363992843873399,0.29865251627354295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.532361937867214,0.0,1.05e-08
46.0,1.281516967501579,0.453002228,0.439513771,0.0,0.0,0.7717190582107999,0.509797909290779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5002480573474517,0.0,1.05e-08
47.0,1.3319029473053297,0.122446832,0.497341583,0.0,0.0,0.20859622322196625,1.1233067240833632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,1.1512054958093392,0.0,1.05e-08
48.0,1.3532586369178585,0.000871135,0.529499074,0.0,0.0,0.001484035707158741,1.3517746012107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0698047627550722,0.0,1.05e-08
49.0,1.3547532996421685,0.0,0.535884875,0.0,0.0,0.0,1.3547532996421685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960305042996255,0.0,1.05e-08
50.0,1.3297808688529065,0.0,0.532856932,0.0,0.0,0.0,1.3297808688529065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1071551218553846,0.0,1.05e-08
51.0,1.287206536066754,0.0,0.531539156,0.0,0.0,0.0,1.287206536066754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1437028167782777,0.0,1.05e-08
52.0,1.2421268230693652,0.0,0.526815984,0.0,0.0,0.0,1.2421268230693652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1671818577267838,0.0,1.05e-08
53.0,1.2038865839135906,0.0,0.525942978,0.0,0.0,0.0,1.2038865839135906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2014295435089557,0.0,1.05e-08
54.0,1.1788606193591311,0.0,0.530330582,0.0,0.0,0.0,1.1788606193591311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2465215135115264,0.0,1.05e-08
55.0,1.1633272620494666,0.0,0.529861155,0.0,0.0,0.0,1.1633272620494666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2599080214839462,0.0,1.05e-08
56.0,1.155344306983237,0.0,0.524244192,0.0,0.0,0.0,1.155344306983237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2422026942530868,0.0,1.05e-08
57.0,1.1650232117309187,0.0,0.514228388,0.0,0.0,0.0,1.1650232117309187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1867181111371634,0.0,1.05e-08
58.0,1.1932183751850618,0.0,0.497980142,0.0,0.0,0.0,1.1932183751850618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842141922077662,0.0,1.05e-08
59.0,1.2449062961584119,0.0,0.47871924,0.0,0.0,0.0,1.2449062961584119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444396151762282,0.0,1.05e-08
60.0,1.2950288898373914,0.0,0.459722775,0.0,0.0,0.0,1.2950288898373914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074397257830388,0.0,1.05e-08
61.0,1.3152839252374626,0.0,0.433833591,0.0,0.0,0.0,1.3152839252374626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6687846462606757,0.0,1.05e-08
62.0,1.3108470467779059,0.061014938,0.354665261,0.0,0.0,0.10394295564071783,1.206904091137188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4151007797403288,0.0,1.05e-08
63.0,1.2919539103644555,0.424546101,0.288179064,0.0,0.0,0.7232421762631753,0.5687117341012803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492291439395594,0.0,1.05e-08
64.0,1.2653604771650173,0.537881346,0.249260349,0.0,0.0,0.9163162123879829,0.34904426477703443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.790908092143058,0.0,1.05e-08
65.0,1.234441515737633,0.541613463,0.221718316,0.0,0.0,0.9226741189022363,0.3117673968353967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7022258753017367,0.0,1.05e-08
66.0,1.2038266260965695,0.511624405,0.205629316,0.0,0.0,0.8715857882806282,0.3322408378159414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.6081719649682932,0.0,1.05e-08
67.0,1.1782289209298022,0.493295468,0.199457562,0.0,0.0,0.8403612398670495,0.33786768106275283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.5743195914802839,0.0,1.05e-08
68.0,1.1658026633521923,0.498724734,0.193911704,0.0,0.0,0.8496103512076143,0.3161923121445781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.570631865451319,0.0,1.05e-08
69.0,1.1712459765974592,0.488431454,0.191458978,0.0,0.0,0.8320750724462477,0.33917090415121154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5364361232007887,0.0,1.05e-08
70.0,1.2051863837325825,0.38571111,0.208776421,0.0,0.0,0.6570842175872086,0.5481021661453739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4067034182289442,0.0,1.05e-08
71.0,1.2505209174523104,0.093393891,0.230912133,0.0,0.0,0.15910262941391565,1.0560397243718689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03537856366652576,-2.7755575615628914e-17,0.0,0.0,3.54813
72.0,1.2774398359441486,0.000681703,0.256885683,0.0,0.0,0.001161325849239481,1.1748256029075757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10145290718733349,-2.168404344971009e-19,0.0,0.0,3.54813
73.0,1.2842771684351546,0.0,0.265720498,0.0,0.0,0.0,1.2152302168889313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06904695154622315,0.0,2.220446049250313e-16,0.0,3.54813
74.0,1.267169918428688,0.0,0.262379618,0.0,0.0,0.0,1.1999512363151412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06721868211354687,0.0,-4.440892098500626e-16,0.0,3.54813
