case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.5246805798363319,12.27398499840589,0.0,0.0,0.0,0.0,0.0,0.3095947689701325,optimal,0.0,0.0,0.3924624548717554,0.6075105257318519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.701939639267366e-05,0.02673055824029445,3.854956981428291,0.0
exp2.95,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.5246805798363319,12.27398499840589,0.0,0.0,0.0,0.0,0.0,0.30664965476333106,optimal,0.0,0.0,0.3924624548717554,0.6075105257318519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.701939639267366e-05,0.02673055824029445,3.854956981428291,0.0
exp2.90,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.5998314491301582,11.63075860459438,0.0,0.0,0.0,0.0,0.0,0.3027563656585904,optimal,0.0,0.0,0.40159763186878916,0.5983621086666678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0259464542980826e-05,0.038257229865121256,3.63024680387205,0.0
exp2.85,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,708.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.5998314491301582,11.63075860459438,0.0,0.0,0.0,0.0,0.0,0.299294051707894,optimal,0.0,0.0,0.40159763186878916,0.5983621086666678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0259464542980826e-05,0.038257229865121256,3.63024680387205,0.0
exp2.80,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,631.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.7365078221840096,10.460927152413332,0.0,0.0,0.0,0.0,0.0,0.2956977404249274,optimal,0.0,0.0,0.4146707489603279,0.5852558108997977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.344013987437287e-05,0.06276167583785447,3.218036071767212,0.0
exp2.75,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.7365078221840096,10.460927152413332,0.0,0.0,0.0,0.0,0.0,0.29063037077359566,optimal,0.0,0.0,0.4146707489603279,0.5852558108997977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.344013987437287e-05,0.06276167583785447,3.218036071767212,0.0
exp2.70,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.7365078221840096,10.460927152413332,0.0,0.0,0.0,0.0,0.0,0.286150522241259,optimal,0.0,0.0,0.4146707489603279,0.5852558108997977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.344013987437287e-05,0.06276167583785447,3.218036071767212,0.0
exp2.65,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,447.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.7682672649979283,10.189093811526906,0.0,0.0,0.0,0.0,0.0,0.28182087546565815,optimal,0.0,0.0,0.4172122848279412,0.5827039471161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37680559065508e-05,0.06895202565435972,3.1217571604418763,0.0
exp2.60,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.7682672649979283,10.189093811526906,0.0,0.0,0.0,0.0,0.0,0.27771624072623724,optimal,0.0,0.0,0.4172122848279412,0.5827039471161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37680559065508e-05,0.06895202565435972,3.1217571604418763,0.0
exp2.55,0.0,-1.0,-1.0,0.0195,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,355.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.363571204277968,0.0,0.0,1.8590701793739137,9.411899459545692,0.0,0.0,0.0,0.0,0.0,0.273345332199873,optimal,0.0,0.0,0.42354341524335487,0.5763348711663677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012171359027743178,0.0875860897721583,2.8455607498838162,0.0
