time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.270847194,0.0,0.0,0.0016630851912491377,0.7661778206340158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232159094174735,-2.168404344971009e-19,0.0,0.0,0.316
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,0.7774202677991359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22257973220086413,0.0,0.0,0.0,0.316
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,0.781169022213339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21883097778666102,0.0,0.0,0.0,0.316
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,0.7732296857267545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22677031427324548,0.0,0.0,0.0,0.316
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,0.7424351794118789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575648205881211,0.0,0.0,0.0,0.316
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,0.7144442764880019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28555572351199804,0.0,0.0,0.0,0.316
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,0.7006450630627596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29935493693724036,0.0,0.0,0.0,0.316
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,0.6938694746253081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061305253746919,0.0,0.0,0.0,0.316
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,0.6849895641454508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3150104358545492,0.0,-1.1102230246251565e-16,0.0,0.316
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,0.6812047168234013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187952831765986,0.0,0.0,0.0,0.316
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,0.6820159911355208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31798400886447925,0.0,-1.1102230246251565e-16,0.0,0.316
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,0.6767964288032301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3232035711967699,0.0,0.0,0.0,0.316
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,0.6613711024411942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33862889755880576,0.0,0.0,0.0,0.316
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,0.6450605366238885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35493946337611143,0.0,0.0,0.0,0.316
14.0,1.0,0.073691983,0.222339816,0.0,0.0,0.060581876477933665,0.6289592044400065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3104589190820598,0.0,-1.1102230246251565e-16,0.0,0.316
15.0,1.0,0.392796165,0.197158781,0.0,0.0,0.3229161135348474,0.5577266019061626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11935728455898999,5.551115123125783e-17,0.0,0.0,0.316
16.0,1.0,0.566870317,0.165461781,0.0,0.0,0.4660217587508956,0.4680615105977535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659167306513509,5.551115123125783e-17,0.0,0.0,0.316
