time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.002022982,0.270847194,0.0,0.0,0.0027913740356994114,0.9972086259643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6860239344408521,0.0,1.05e-08
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7079313347853682,0.0,1.05e-08
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7161670541197227,0.0,1.05e-08
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987249547501884,0.0,1.05e-08
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6310718404014755,0.0,1.05e-08
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569578022742252,0.0,1.05e-08
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392622334831383,0.0,1.05e-08
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524376797274106,0.0,1.05e-08
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504868330635369,0.0,1.05e-08
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49655331801419456,0.0,1.05e-08
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49833562402828613,0.0,1.05e-08
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48686865509213817,0.0,1.05e-08
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4529804232898016,0.0,1.05e-08
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171473898569078,0.0,1.05e-08
14.0,1.0,0.073691983,0.222339816,0.0,0.0,0.10168251026722058,0.8983174897327795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4834565365681558,0.0,1.05e-08
15.0,1.0,0.392796165,0.197158781,0.0,0.0,0.5419924726484475,0.4580075273515524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767274059833688,0.0,1.05e-08
16.0,1.0,0.566870317,0.165461781,0.0,0.0,0.7821854492439846,0.21781455075601538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.8104798656219021,0.0,1.05e-08
17.0,1.0,0.584959422,0.144656312,0.0,0.0,0.807145363877946,0.19285463612205395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7061401469899564,0.0,1.05e-08
18.0,1.0,0.548865303,0.140981722,0.0,0.0,0.7573415660102217,0.24265843398977832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.6334998949474875,0.0,1.05e-08
19.0,1.0,0.529070696,0.14460458,0.0,0.0,0.7300283462056589,0.26997165379434107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6287016307430344,0.0,1.05e-08
20.0,1.0,0.545293524,0.149326342,0.0,0.0,0.7524131132796207,0.24758688672037926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6804307060356138,0.0,1.05e-08
21.0,1.0,0.568797545,0.152196335,0.0,0.0,0.7848446989061532,0.2151553010938468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306984213055453,0.0,1.05e-08
22.0,1.0,0.499665692,0.157201758,0.0,0.0,0.6894543990893538,0.31054560091064626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664152961571341,0.0,1.05e-08
23.0,1.0,0.192462966,0.181682449,0.0,0.0,0.26556643911122224,0.7344335608887778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3946673513065635,0.0,1.05e-08
24.0,1.0,0.001861837,0.202969574,0.0,0.0,0.00256902110869226,0.9974309788913077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26396291145249673,0.0,1.05e-08
25.0,1.0,0.0,0.211225971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31270487517177137,0.0,1.05e-08
26.0,1.0,0.0,0.211895965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168686831825571,0.0,1.05e-08
27.0,1.0,0.0,0.214355818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3321559180335496,0.0,1.05e-08
28.0,1.0,0.0,0.221920502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37916811790140525,0.0,1.05e-08
29.0,1.0,0.0,0.228137587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41780540170803193,0.0,1.05e-08
30.0,1.0,0.0,0.239214475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48664487637344456,0.0,1.05e-08
31.0,1.0,0.0,0.255139109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5856116113263454,0.0,1.05e-08
32.0,1.0,0.0,0.27224264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691904830952977,0.0,1.05e-08
33.0,1.0,0.0,0.284032874,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7651775330641013,0.0,1.05e-08
34.0,1.0,0.0,0.297730735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8503055541544877,0.0,1.05e-08
35.0,1.0,0.0,0.312481376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419762812953683,0.0,1.05e-08
36.0,1.0,0.0,0.324623704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174371400433428,0.0,1.05e-08
37.0,1.0,0.0,0.341340376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1213261491796644,0.0,1.05e-08
38.0,1.0,0.086175999,0.350141382,0.0,0.0,0.11890834723643533,0.8810916527635647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.2949300597879732,0.0,1.05e-08
39.0,1.0,0.388952263,0.310976023,0.0,0.0,0.5366885360644479,0.4633114639355521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4693095083862127,0.0,1.05e-08
40.0,1.0,0.521500834,0.299015891,0.0,0.0,0.7195832131097504,0.2804167868902496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.5778756191582988,0.0,1.05e-08
41.0,1.0,0.533686072,0.320008689,0.0,0.0,0.7363967868202518,0.26360321317974816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.7251530186362116,0.0,1.05e-08
42.0,1.0,0.519153744,0.353195172,0.0,0.0,0.7163446246865959,0.2836553753134042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9113447090821472,0.0,1.05e-08
43.0,1.0,0.511316552,0.376841343,0.0,0.0,0.7055306212690711,0.29446937873092893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047484433958031,0.0,1.05e-08
44.0,1.0,0.52889684,0.392067702,0.0,0.0,0.7297884542420378,0.2702115457579623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,2.1663694360986354,0.0,1.05e-08
45.0,1.0,0.549670191,0.400366997,0.0,0.0,0.7584521757263962,0.24154782427360377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,2.2466107403745945,0.0,1.05e-08
46.0,1.0,0.453002228,0.439513771,0.0,0.0,0.6250666873720008,0.3749333126279993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3565104921531344,0.0,1.05e-08
47.0,1.0,0.122446832,0.497341583,0.0,0.0,0.16895598062585226,0.8310440193741477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,2.259781969205382,0.0,1.05e-08
48.0,1.0,0.000871135,0.529499074,0.0,0.0,0.001202019405308108,0.9987979805946919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.168404344971009e-19,2.291876989666131,0.0,1.05e-08
49.0,1.0,0.0,0.535884875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.330360772460671,0.0,1.05e-08
50.0,1.0,0.0,0.532856932,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3115430318247796,0.0,1.05e-08
51.0,1.0,0.0,0.531539156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30335345659691,0.0,1.05e-08
52.0,1.0,0.0,0.526815984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2740003856590807,0.0,1.05e-08
53.0,1.0,0.0,0.525942978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2685749200933234,0.0,1.05e-08
54.0,1.0,0.0,0.530330582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2958425384352137,0.0,1.05e-08
55.0,1.0,0.0,0.529861155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.292925193051405,0.0,1.05e-08
56.0,1.0,0.0,0.524244192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258017484123134,0.0,1.05e-08
57.0,1.0,0.0,0.514228388,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1957723223311456,0.0,1.05e-08
58.0,1.0,0.0,0.497980142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0947944376694614,0.0,1.05e-08
59.0,1.0,0.0,0.47871924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9750938164063414,0.0,1.05e-08
60.0,1.0,0.0,0.459722775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8570365903063846,0.0,1.05e-08
61.0,1.0,0.0,0.433833591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6961432215121706,0.0,1.05e-08
62.0,1.0,0.061014938,0.354665261,0.0,0.0,0.08419032582742178,0.9158096741725782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883265642105735,0.0,1.05e-08
63.0,1.0,0.424546101,0.288179064,0.0,0.0,0.5858020305117988,0.41419796948820115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.3767468676655494,0.0,1.05e-08
64.0,1.0,0.537881346,0.249260349,0.0,0.0,0.7421855575143286,0.25781444248567137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2912624715426566,0.0,1.05e-08
65.0,1.0,0.541613463,0.221718316,0.0,0.0,0.7473352496480166,0.2526647503519834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1252468433320875,0.0,1.05e-08
66.0,1.0,0.511624405,0.205629316,0.0,0.0,0.705955406497517,0.294044593502483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838787807564368,0.0,1.05e-08
67.0,1.0,0.493295468,0.199457562,0.0,0.0,0.6806645641451036,0.3193354358548965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9202323729126902,0.0,1.05e-08
68.0,1.0,0.498724734,0.193911704,0.0,0.0,0.6881560357179132,0.31184396428208677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932580314079481,0.0,1.05e-08
69.0,1.0,0.488431454,0.191458978,0.0,0.0,0.6739530450169657,0.3260469549830343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638120979835391,0.0,1.05e-08
70.0,1.0,0.38571111,0.208776421,0.0,0.0,0.5322162914622076,0.46778370853779244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829697961780173,0.0,1.05e-08
71.0,1.0,0.093393891,0.230912133,0.0,0.0,0.12886782108310452,0.8711321789168955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5639161784908799,0.0,1.05e-08
72.0,1.0,0.000681703,0.256885683,0.0,0.0,0.0009406351881818008,0.9990593648118182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5974066703043379,0.0,1.05e-08
73.0,1.0,0.0,0.265720498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6513717110935706,0.0,1.05e-08
74.0,1.0,0.0,0.262379618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6306091626124279,0.0,1.05e-08
75.0,1.0,0.0,0.263376006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6368014096120296,0.0,1.05e-08
76.0,1.0,0.0,0.265807959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65191525448714,0.0,1.05e-08
77.0,1.0,0.0,0.265026025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470557735767053,0.0,1.05e-08
78.0,1.0,0.0,0.264021562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408133429192098,0.0,1.05e-08
79.0,1.0,0.0,0.265130411,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6477045006742823,0.0,1.05e-08
