case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,341.3261682144102,0.0,0.0,0.0,0.0,0.0,0.0,467.932153456636,optimal,0.0,0.0,0.538723706828963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46127629317103697,93.30489626185206,0.0,0.0
exp2.95,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,891.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,322.38554990592786,0.0,0.0,0.0,0.0,0.0,0.0,417.632452284768,optimal,0.0,0.0,0.5383322850098652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4616677149901349,88.09778719869071,0.0,0.0
exp2.90,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,794.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,301.8097113914454,0.0,0.0,0.0,0.0,0.0,0.0,372.82695849759307,optimal,0.0,0.0,0.5378568398991568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621431601008432,82.4411775741413,0.0,0.0
exp2.85,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,708.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,258.4981258885873,0.0,0.0,0.0,0.0,0.0,0.0,333.02289178042014,optimal,0.0,0.0,0.5367483357058503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4632516642941496,70.53427447924136,0.0,0.0
exp2.80,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,631.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,226.50544009440748,0.0,0.0,0.0,0.0,0.0,0.0,297.3147795687206,optimal,0.0,0.0,0.5358194556553002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4641805443446998,61.739190257945175,0.0,0.0
exp2.75,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,562.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,206.65776936083643,0.0,0.0,0.0,0.0,0.0,0.0,265.2582345616912,optimal,0.0,0.0,0.5351807685875533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46481923141244674,56.28294505202425,0.0,0.0
exp2.70,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,501.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,188.65041380468264,0.0,0.0,0.0,0.0,0.0,0.0,236.88417422861428,optimal,0.0,0.0,0.5345199777364084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4654800222635915,51.33269498745254,0.0,0.0
exp2.65,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,447.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,179.22714387924967,0.0,0.0,0.0,0.0,0.0,0.0,211.74005677913271,optimal,0.0,0.0,0.5341272316148648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658727683851351,48.74227037441651,0.0,0.0
exp2.60,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,398.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,162.83451909430138,0.0,0.0,0.0,0.0,0.0,0.0,188.89304575838273,optimal,0.0,0.0,0.5333724305761273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666275694238727,44.236065575330095,0.0,0.0
exp2.55,0.0,-1.0,-1.0,0.0195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1e-08,-1.0,-1.0,0.0,0.0,0.0,0.0,355.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.2749382517596233,0.0,0.0,0.0,146.34487574881015,0.0,0.0,0.0,0.0,0.0,0.0,168.80941403272945,optimal,0.0,0.0,0.5325191860554482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4674808139445518,39.70328510630171,0.0,0.0
