case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,38.08181922414341,0.0,0.0,0.0,0.0,0.0,0.8072362307782387,optimal,0.0,0.0,0.0,0.9999772492557388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2750744261126908e-05,0.0,12.845475627161955,0.0
exp2.95,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,36.45917404626663,0.0,0.0,0.0,0.0,0.0,0.8046434096288373,optimal,0.0,0.0,0.0,0.9999398603661321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013963386799056e-05,0.0,12.255565954615065,0.0
exp2.90,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,36.45917404626663,0.0,0.0,0.0,0.0,0.0,0.7988098651436424,optimal,0.0,0.0,0.0,0.9999398603661321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013963386799056e-05,0.0,12.255565954615065,0.0
exp2.85,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,708.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,34.588450570755604,0.0,0.0,0.0,0.0,0.0,0.7904624715345717,optimal,0.0,0.0,0.0,0.9998899147185337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011008528146633581,0.0,11.575474713400052,0.0
exp2.80,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,631.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,33.92777866547759,0.0,0.0,0.0,0.0,0.0,0.7812993716680546,optimal,0.0,0.0,0.0,0.9998694340401577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013056595984245828,0.0,11.33529391384388,0.0
exp2.75,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,33.64454816892627,0.0,0.0,0.0,0.0,0.0,0.772082675649946,optimal,0.0,0.0,0.0,0.9998594217564564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014057824354367338,0.0,11.232329473408173,0.0
exp2.70,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,33.25797417750794,0.0,0.0,0.0,0.0,0.0,0.7633256873339149,optimal,0.0,0.0,0.0,0.999843889403635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015611059636505716,0.0,11.091797834158491,0.0
exp2.65,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,447.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,32.93970947320639,0.0,0.0,0.0,0.0,0.0,0.7546572070604727,optimal,0.0,0.0,0.0,0.9998297557462769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017024425372306895,0.0,10.976100085993764,0.0
exp2.60,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,32.530002279425,0.0,0.0,0.0,0.0,0.0,0.7459220376834226,optimal,0.0,0.0,0.0,0.9998095377381175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019046226188259086,0.0,10.827162566157476,0.0
exp2.55,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,355.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,32.42196144332034,0.0,0.0,0.0,0.0,0.0,0.7375844653964638,optimal,0.0,0.0,0.0,0.9998036843685462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001963156314538851,0.0,10.787887882633278,0.0
exp2.50,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,316.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,31.482068594872235,0.0,0.0,0.0,0.0,0.0,0.7291279123189179,optimal,0.0,0.0,0.0,0.9997449452887115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025505471128870535,0.0,10.446228646910583,0.0
exp2.45,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,282.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,31.230204317163274,0.0,0.0,0.0,0.0,0.0,0.7202613924018734,optimal,0.0,0.0,0.0,0.9997272369752798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002727630247204866,0.0,10.354675756462768,0.0
exp2.40,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,251.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,30.90427827508832,0.0,0.0,0.0,0.0,0.0,0.7113888063982079,optimal,0.0,0.0,0.0,0.9997021487512568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002978512487431044,0.0,10.23620352106405,0.0
exp2.35,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,224.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,29.801873616010973,0.0,0.0,0.0,0.0,0.0,0.7015024198627056,optimal,0.0,0.0,0.0,0.9996090008353706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003909991646294132,0.0,9.835494079477542,0.0
exp2.30,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,200.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,28.437547956322586,0.0,0.0,0.0,0.0,0.0,0.6909301093248145,optimal,0.0,0.0,0.0,0.9994744169453496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005255830546504342,0.0,9.339599140247321,0.0
exp2.25,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,178.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,28.083508444367215,0.0,0.0,0.0,0.0,0.0,0.6791167109820613,optimal,0.0,0.0,0.0,0.9994348515363256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005651484636743263,0.0,9.210920133932747,0.0
exp2.20,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,158.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,27.331624727559923,0.0,0.0,0.0,0.0,0.0,0.6673257382484081,optimal,0.0,0.0,0.0,0.9993399097571671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006600902428329325,0.0,8.937651807315286,0.0
