time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.0,0.270847194,0.0,0.0,0.0,1.1881654411423366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023492104127302002,0.0,0.0,0.0,0.501
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,1.2055998889111466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004001959774913818,0.0,0.0,0.0,0.501
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,1.1913018663909964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020111477729020555,0.0,1.05e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,1.1677984021187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130285858549575,0.0,1.05e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,1.1480487254621414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003297344221177445,0.0,1.05e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,1.1079386221889505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020255500436795897,0.0,0.0,0.0,0.501
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,1.0865392184666491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029018794221913575,0.0,0.0,0.0,0.501
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,1.076031840403784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03199932489803052,0.0,2.220446049250313e-16,0.0,0.501
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,1.0622611432255842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03882990475604541,0.0,2.220446049250313e-16,0.0,0.501
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,1.0563917162245025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04828823537595764,0.0,2.220446049250313e-16,0.0,0.501
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,1.0576498159436372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05861698379613855,0.0,0.0,0.0,0.501
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,1.049555476204092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08448453358120557,0.0,2.220446049250313e-16,0.0,0.501
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,1.025634345615182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13102689199191003,0.0,0.0,0.0,0.501
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,1.0003404123953932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17734460548000416,0.0,0.0,0.0,0.501
14.0,1.1889313912680575,0.0,0.222339816,0.0,0.0,0.0,0.9753709523796873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21356043888837012,0.0,0.0,0.0,0.501
15.0,1.1938672044192535,0.0,0.197158781,0.0,0.0,0.0,0.864905582156226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32896162226302733,0.0,1.1102230246251565e-16,0.0,0.501
16.0,1.1898971403922178,0.0,0.165461781,0.0,0.0,0.0,0.725855664630078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4640414757621398,0.0,0.0,0.0,0.501
17.0,1.1807492905952939,0.0,0.144656312,0.0,0.0,0.0,0.6345852368753117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461640537199823,0.0,0.0,0.0,0.501
18.0,1.1644086441064532,0.0,0.140981722,0.0,0.0,0.0,0.6184653694922025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459432746142506,0.0,0.0,0.0,0.501
19.0,1.1518346333368983,0.0,0.14460458,0.0,0.0,0.0,0.6343582964603366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174763368765617,0.0,1.1102230246251565e-16,0.0,0.501
20.0,1.1426996316436218,0.0,0.149326342,0.0,0.0,0.0,0.6550719481206861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4876276835229357,0.0,0.0,0.0,0.501
21.0,1.1557918492602868,0.0,0.152196335,0.0,0.0,0.0,0.667662170853141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881296784071459,0.0,0.0,0.0,0.501
22.0,1.2064347911369846,0.0,0.157201758,0.0,0.0,0.0,0.6896202001724293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168145909645553,0.0,1.1102230246251565e-16,0.0,0.501
23.0,1.255651593508825,0.0,0.181682449,0.0,0.0,0.0,0.7970132677981705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45863832571065444,0.0,1.1102230246251565e-16,0.0,0.501
24.0,1.2849324217211704,0.0,0.202969574,0.0,0.0,0.0,0.8903966471595868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945357745615836,0.0,0.0,0.0,0.501
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.926616204906791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654212181313723,0.0,1.1102230246251565e-16,0.0,0.501
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.929555366671091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487581403210785,0.0,0.0,0.0,0.501
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.9403463676104998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30810814650519275,0.0,2.220446049250313e-16,0.0,0.501
