case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,28.685765113611694,0.0,0.0,0.0,0.0,0.0,0.6305686097650813,optimal,0.0,0.0,0.0,0.999960358162075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.964183792508545e-05,0.0,9.429357809828652,0.0
exp2.95,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,28.1214547633498,0.0,0.0,0.0,0.0,0.0,0.6259334132514152,optimal,0.0,0.0,0.0,0.9999476639342009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.233606579904314e-05,0.0,9.224203510425285,0.0
exp2.90,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,28.1214547633498,0.0,0.0,0.0,0.0,0.0,0.620856814868908,optimal,0.0,0.0,0.0,0.9999476639342009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.233606579904314e-05,0.0,9.224203510425285,0.0
exp2.85,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,708.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,27.157479816289428,0.0,0.0,0.0,0.0,0.0,0.6146213115858963,optimal,0.0,0.0,0.0,0.9999220660778656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793392213438036e-05,0.0,8.873755575885092,0.0
exp2.80,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,631.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,27.0919290380019,0.0,0.0,0.0,0.0,0.0,0.6085422800334738,optimal,0.0,0.0,0.0,0.9999200498710752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99501289246637e-05,0.0,8.84992521668853,0.0
exp2.75,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,26.993505470557803,0.0,0.0,0.0,0.0,0.0,0.6029326143120052,optimal,0.0,0.0,0.0,0.9999166078449833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.339215501668806e-05,0.0,8.814144683769635,0.0
exp2.70,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,26.540333969230886,0.0,0.0,0.0,0.0,0.0,0.5974104113521811,optimal,0.0,0.0,0.0,0.9998988432712833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010115672871671808,0.0,8.649402339861453,0.0
exp2.65,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,447.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,26.239386594512556,0.0,0.0,0.0,0.0,0.0,0.5916004390330689,optimal,0.0,0.0,0.0,0.9998857515331381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001142484668619658,0.0,8.539999632148962,0.0
exp2.60,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,26.152959085709288,0.0,0.0,0.0,0.0,0.0,0.5858678874041494,optimal,0.0,0.0,0.0,0.9998816157795481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011838422045168306,0.0,8.508581214444204,0.0
exp2.55,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,355.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,25.323931064207816,0.0,0.0,0.0,0.0,0.0,0.5800268584558984,optimal,0.0,0.0,0.0,0.9998356229069438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016437709305614724,0.0,8.207216491159338,0.0
