time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.0,0.0,0.270847194,0.0,0.0,0.0,0.9206857875874268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07931421241257325,0.0,0.0,0.0,0.282
1.0,1.0,0.0,0.274821448,0.0,0.0,0.0,0.9341953946836793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06580460531632068,0.0,1.1102230246251565e-16,0.0,0.282
2.0,1.0,0.0,0.276146649,0.0,0.0,0.0,0.9387001255925645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129987440743542,0.0,1.1102230246251565e-16,0.0,0.282
3.0,1.0,0.0,0.273340059,0.0,0.0,0.0,0.9291597368352604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07084026316473963,0.0,0.0,0.0,0.282
4.0,1.0,0.0,0.262454067,0.0,0.0,0.0,0.8921551883657997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10784481163420032,0.0,0.0,0.0,0.282
5.0,1.0,0.0,0.252559161,0.0,0.0,0.0,0.8585196199511105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14148038004888952,0.0,0.0,0.0,0.282
6.0,1.0,0.0,0.247681079,0.0,0.0,0.0,0.8419376472832081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15806235271679187,0.0,1.1102230246251565e-16,0.0,0.282
7.0,1.0,0.0,0.245285879,0.0,0.0,0.0,0.8337956888384425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16620431116155748,0.0,1.1102230246251565e-16,0.0,0.282
8.0,1.0,0.0,0.242146792,0.0,0.0,0.0,0.8231250492640836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1768749507359164,0.0,0.0,0.0,0.282
9.0,1.0,0.0,0.240808832,0.0,0.0,0.0,0.8185769469257574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18142305307424256,0.0,0.0,0.0,0.282
10.0,1.0,0.0,0.241095621,0.0,0.0,0.0,0.819551823395537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18044817660446302,0.0,0.0,0.0,0.282
11.0,1.0,0.0,0.239250483,0.0,0.0,0.0,0.8132796803925068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18672031960749327,0.0,0.0,0.0,0.282
12.0,1.0,0.0,0.233797563,0.0,0.0,0.0,0.7947436716906731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2052563283093269,0.0,0.0,0.0,0.282
13.0,1.0,0.0,0.228031707,0.0,0.0,0.0,0.7751439055122732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248560944877268,0.0,1.1102230246251565e-16,0.0,0.282
14.0,1.0,0.0,0.222339816,0.0,0.0,0.0,0.7557955671713679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24420443282863208,0.0,2.220446049250313e-16,0.0,0.282
15.0,1.0,0.0,0.197158781,0.0,0.0,0.0,0.6701981470953028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32980185290469727,0.0,0.0,0.0,0.282
16.0,1.0,0.0,0.165461781,0.0,0.0,0.0,0.5624511293833205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43754887061667946,0.0,0.0,0.0,0.282
17.0,1.0,0.0,0.144656312,0.0,0.0,0.0,0.4917274887596308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082725112403692,0.0,0.0,0.0,0.282
18.0,1.0,0.0,0.140981722,0.0,0.0,0.0,0.4792365238792234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207634761207766,0.0,5.551115123125783e-17,0.0,0.282
19.0,1.0,0.0,0.14460458,0.0,0.0,0.0,0.49155163714211875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084483628578812,0.0,1.1102230246251565e-16,0.0,0.282
20.0,1.0,0.0,0.149326342,0.0,0.0,0.0,0.5076022341653628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4923977658346372,0.0,0.0,0.0,0.282
21.0,1.0,0.0,0.152196335,0.0,0.0,0.0,0.5173581475516221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4826418524483779,0.0,0.0,0.0,0.282
22.0,1.0,0.0,0.157201758,0.0,0.0,0.0,0.5343729880929025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46562701190709754,0.0,1.1102230246251565e-16,0.0,0.282
23.0,1.0,0.0,0.181682449,0.0,0.0,0.0,0.6175897419427483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824102580572517,0.0,0.0,0.0,0.282
24.0,1.0,0.0,0.202969574,0.0,0.0,0.0,0.6899506667751356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3100493332248644,0.0,0.0,0.0,0.282
25.0,1.0,0.0,0.211225971,0.0,0.0,0.0,0.718016482271749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281983517728251,0.0,1.1102230246251565e-16,0.0,0.282
26.0,1.0,0.0,0.211895965,0.0,0.0,0.0,0.7202939803120972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797060196879027,0.0,1.1102230246251565e-16,0.0,0.282
