case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,24.697641135452933,0.0,0.0,15.53898162835434,0.0,0.0,0.0,12.20701141993802,0.0,0.0,1.0491752283335005,0.0,0.0,0.4954570141670126,0.4458628597080431,3.557048112098208,0.0,0.0,0.0,0.0004189261254689755,5.760818353220186,0.0,0.0
exp2.95,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,24.697641135452933,0.0,0.0,15.298757312400568,0.0,0.0,0.0,12.155865977897825,0.0,0.0,1.0489621129817572,0.0,0.0,0.4952438988152692,0.4456709837295709,3.5623456816512435,0.0,0.0,0.0,0.000610802103941074,5.76103146857193,0.0,0.0
exp2.90,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,24.16808890558351,0.0,0.0,15.155830498351952,0.0,0.0,0.0,12.094666020517895,0.0,0.0,1.0488529668693318,0.0,0.0,0.4955470632574414,0.4459436870729384,3.5729651041515544,0.0,0.0,0.0,0.0007504093151710993,5.617213433530397,0.0,0.0
exp2.85,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,23.47131380639875,0.0,0.0,15.087633445240282,0.0,0.0,0.0,12.02830463578157,0.0,0.0,1.048834246635868,0.0,0.0,0.496189437275143,0.44652160076399217,3.5893305268077165,0.0,0.0,0.0,0.0008335898752828679,5.423203990038535,0.0,0.0
exp2.80,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,23.26140065986145,0.0,0.0,15.01156613744208,0.0,0.0,0.0,11.962854222254538,0.0,0.0,1.0487400815796581,0.0,0.0,0.4961626767359382,0.44649748171331793,3.5918680507402394,0.0,0.0,0.0,0.0009251134429622209,5.363870095579676,0.0,0.0
exp2.75,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.45105138159364,0.0,0.0,14.985759419419793,0.0,0.0,0.0,11.898479420503204,0.0,0.0,1.0487590838888805,0.0,0.0,0.496884950405858,0.4471473250570689,3.6067677458473475,0.0,0.0,0.0,0.0009785414599084979,5.143633998754571,0.0,0.0
exp2.70,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.373738467855254,0.0,0.0,14.854335287487654,0.0,0.0,0.0,11.832152685833838,0.0,0.0,1.0485657016284402,0.0,0.0,0.4967717558579247,0.44704540201432347,3.6102878355247996,0.0,0.0,0.0,0.0011606522151610824,5.123070704839534,0.0,0.0
exp2.65,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.899190842471672,0.0,0.0,14.602835067814876,0.0,0.0,0.0,11.756003197193012,0.0,0.0,1.0481406687169064,0.0,0.0,0.49652800950094694,0.4468259439305841,3.61662790022381,0.0,0.0,0.0,0.0015613968534566685,4.988438027702789,0.0,0.0
exp2.60,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.56385913532346,0.0,0.0,14.491827505002425,0.0,0.0,0.0,11.676998767572218,0.0,0.0,1.0478796752086301,0.0,0.0,0.49564362823682345,0.446030163969798,3.6046487107561895,0.0,0.0,0.0,0.0017337890583952347,5.169895224781666,0.0,0.0
exp2.55,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.37647731502869,0.0,0.0,14.282108133606428,0.0,0.0,0.0,11.596978459278285,0.0,0.0,1.0474153652568046,0.0,0.0,0.4952835604713476,0.4457060610045224,3.6077302899612524,0.0,0.0,0.0,0.0021621342100205847,5.117467523100216,0.0,0.0
