case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.298505911936092,13.839642017850897,0.0,0.0,0.0,0.0,0.0,0.26534175085428274,0.0,0.0,0.4035759193567093,0.5964129325730958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1148070195016282e-05,0.23113545427882148,5.321094968002047,0.0
exp2.95,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.467742006038848,13.277736362177787,0.0,0.0,0.0,0.0,0.0,0.2636931404063415,0.0,0.0,0.40675219728481415,0.593229916075759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788663942674355e-05,0.27461030947239273,5.074906851061476,0.0
exp2.90,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.499090360236116,13.108593954242604,0.0,0.0,0.0,0.0,0.0,0.26182171962486817,0.0,0.0,0.40761258090072106,0.5923669002896578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0518809621251676e-05,0.28250143031229086,5.001725268783733,0.0
exp2.85,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.43073336482687,12.803874385954037,0.0,0.0,0.0,0.0,0.0,0.25978900473248323,0.0,0.0,0.4089370271909326,0.5910345455811673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8427227900077866e-05,0.26180560749719756,4.875898709376895,0.0
exp2.80,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.2929356041067335,12.803874385954037,0.0,0.0,0.0,0.0,0.0,0.2574630940785316,0.0,0.0,0.4078491268381261,0.5921194374318168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.143573005706954e-05,0.22461720241337152,4.874813817526246,0.0
exp2.75,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.3199572571559957,12.572374318229457,0.0,0.0,0.0,0.0,0.0,0.2551952706284746,0.0,0.0,0.41519335113581174,0.584769568824586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7080039602362436e-05,0.22461720241337152,4.781365620105997,0.0
exp2.70,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.3349470904421685,12.483193739434139,0.0,0.0,0.0,0.0,0.0,0.25289198611572017,0.0,0.0,0.4156154630603249,0.5843451382647334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939867494169113e-05,0.22832348756279117,4.744296543195503,0.0
exp2.65,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.2410424561475986,12.171658380904173,0.0,0.0,0.0,0.0,0.0,0.25037766417512225,0.0,0.0,0.4062953154530719,0.5936519030937394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2781453188798596e-05,0.21181688587873806,4.599935329718642,0.0
exp2.60,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.148615894459367,12.09422198980379,0.0,0.0,0.0,0.0,0.0,0.24768219359646299,0.0,0.0,0.39504259139684444,0.604898432513911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897608924468362e-05,0.19717503528174976,4.559228262153079,0.0
exp2.55,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.1339880079292586,11.652630797072447,0.0,0.0,0.0,0.0,0.0,0.24456058432662586,0.0,0.0,0.4052058598788474,0.5947163509221584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778919899427464e-05,0.1827523666494047,4.376810447055265,0.0
