case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,431.8157442772498,0.0,0.0,0.0,0.0,0.0,0.0,466.6119724926293,0.0,0.0,0.5397668528688341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4602331471311659,118.28548866900651,0.0,0.0
exp2.95,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,398.0162654621983,0.0,0.0,0.0,0.0,0.0,0.0,416.53896584673413,0.0,0.0,0.5392325733533088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4607674266466912,108.96127368414048,0.0,0.0
exp2.90,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,360.5021908665843,0.0,0.0,0.0,0.0,0.0,0.0,371.85019372088993,0.0,0.0,0.5385724545756598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4614275454243402,98.61746027630235,0.0,0.0
exp2.85,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,322.1105159917953,0.0,0.0,0.0,0.0,0.0,0.0,331.96328098603715,0.0,0.0,0.5378107479562024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621892520437976,88.05788643703563,0.0,0.0
exp2.80,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,289.3987433386611,0.0,0.0,0.0,0.0,0.0,0.0,296.35191541808916,0.0,0.0,0.5370890754263143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4629109245736857,79.06532634985702,0.0,0.0
exp2.75,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,256.3420418606472,0.0,0.0,0.0,0.0,0.0,0.0,264.5622123057757,0.0,0.0,0.5362680259417993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46373197405820077,69.99010297606347,0.0,0.0
exp2.70,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,233.54158059448974,0.0,0.0,0.0,0.0,0.0,0.0,236.1821273169672,0.0,0.0,0.5356379400724636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46436205992753654,63.72207094964572,0.0,0.0
exp2.65,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,213.69573883733347,0.0,0.0,0.0,0.0,0.0,0.0,210.85664040836974,0.0,0.0,0.535018255457234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464981744542766,58.26484442399702,0.0,0.0
exp2.60,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,197.66501107157498,0.0,0.0,0.0,0.0,0.0,0.0,188.25416982853017,0.0,0.0,0.5344612314952102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46553876850478976,53.858500992413425,0.0,0.0
exp2.55,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,174.62561105075156,0.0,0.0,0.0,0.0,0.0,0.0,168.08058227661405,0.0,0.0,0.533554308093892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46644569190610774,47.50196458926228,0.0,0.0
