case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,27.19197554181061,0.0,0.0,0.0,0.0,0.0,0.46318078738983814,0.0,0.0,0.0,0.9999695441642895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0455835710482322e-05,0.0,10.574154454661533,0.0
exp2.95,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,27.00104487396312,0.0,0.0,0.0,0.0,0.0,0.459732707601086,0.0,0.0,0.0,0.999966287645915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3712354085088065e-05,0.0,10.49002658991331,0.0
exp2.90,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,26.912825817871692,0.0,0.0,0.0,0.0,0.0,0.4563241870410989,0.0,0.0,0.0,0.999964697781869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530221813110023e-05,0.0,10.454874281577734,0.0
exp2.85,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,26.055286476778623,0.0,0.0,0.0,0.0,0.0,0.4524854181396495,0.0,0.0,0.0,0.9999465363244727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.346367552713724e-05,0.0,10.101563900829124,0.0
exp2.80,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,25.710445302477105,0.0,0.0,0.0,0.0,0.0,0.44825512361385345,0.0,0.0,0.0,0.9999380198655304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198013446955986e-05,0.0,9.961206540916775,0.0
exp2.75,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,24.916330163627443,0.0,0.0,0.0,0.0,0.0,0.44275740898602234,0.0,0.0,0.0,0.9999177609401377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.223905986226068e-05,0.0,9.6132088345301,0.0
exp2.70,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,24.617337245708132,0.0,0.0,0.0,0.0,0.0,0.4374668500630155,0.0,0.0,0.0,0.9999087886959618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.121130403818046e-05,0.0,9.48315086625088,0.0
exp2.65,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,24.333260219381454,0.0,0.0,0.0,0.0,0.0,0.43217590606993445,0.0,0.0,0.0,0.9998993836976077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010061630239242077,0.0,9.364151934446587,0.0
exp2.60,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,24.26529840223629,0.0,0.0,0.0,0.0,0.0,0.4271907958382398,0.0,0.0,0.0,0.9998969118700358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001030881299642817,0.0,9.334624248432913,0.0
exp2.55,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,23.858947789386036,0.0,0.0,0.0,0.0,0.0,0.42231851849876645,0.0,0.0,0.0,0.9998798398859001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012016011409985314,0.0,9.159458251775288,0.0
