case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,33.19174548899865,0.0,0.0,0.0,0.0,0.0,0.5868849653308748,0.0,0.0,0.0,0.9999413185253567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8681474643214844e-05,0.0,13.115837925982868,0.0
exp2.95,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,32.79496354022105,0.0,0.0,0.0,0.0,0.0,0.5801881582244119,0.0,0.0,0.0,0.9999345875219943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54124780057299e-05,0.0,12.93947787757375,0.0
exp2.90,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,32.356876548002596,0.0,0.0,0.0,0.0,0.0,0.5732895760669638,0.0,0.0,0.0,0.9999265140606326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34859393673498e-05,0.0,12.7599177397626,0.0
exp2.85,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,32.18512430225216,0.0,0.0,0.0,0.0,0.0,0.5668843210356067,0.0,0.0,0.0,0.9999227343640225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.726563597741827e-05,0.0,12.686666241436907,0.0
exp2.80,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,32.1526411847017,0.0,0.0,0.0,0.0,0.0,0.5608799607969668,0.0,0.0,0.0,0.9999220034578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799654219986479e-05,0.0,12.672523410918663,0.0
exp2.75,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,31.31381200331549,0.0,0.0,0.0,0.0,0.0,0.5544151376182923,0.0,0.0,0.0,0.9999002446610825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.975533891745374e-05,0.0,12.308799360242308,0.0
exp2.70,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,31.163264569992474,0.0,0.0,0.0,0.0,0.0,0.5481515533095292,0.0,0.0,0.0,0.9998957899957037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010421000429607281,0.0,12.247090078760287,0.0
exp2.65,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,30.283175630183678,0.0,0.0,0.0,0.0,0.0,0.5414523103209612,0.0,0.0,0.0,0.9998667180203537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001332819796462562,0.0,11.867768101772192,0.0
exp2.60,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,29.79851968184938,0.0,0.0,0.0,0.0,0.0,0.5345860640665204,0.0,0.0,0.0,0.9998483288389627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015167116103727965,0.0,11.661225901983036,0.0
exp2.55,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,29.112352864879966,0.0,0.0,0.0,0.0,0.0,0.5273479481747436,0.0,0.0,0.0,0.999819446615849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018055338415109073,0.0,11.366050748171102,0.0
exp2.50,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,316.228,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,28.569720207445073,0.0,0.0,0.0,0.0,0.0,0.5199264975282012,0.0,0.0,0.0,0.9997935776383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002064223616035004,0.0,11.133808858552324,0.0
exp2.45,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,281.83799999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,27.902383137298738,0.0,0.0,0.0,0.0,0.0,0.512278189519357,0.0,0.0,0.0,0.9997578466193705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024215338062954784,0.0,10.850405781854843,0.0
exp2.40,0.0,-1.0,-1.0,-1.0,0.0159137,-1.0,-1.0,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,251.18900000000002,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.0,0.4275386562212704,0.0,0.0,0.0,27.524940870809864,0.0,0.0,0.0,0.0,0.0,0.5045317765078697,0.0,0.0,0.0,0.9997352268034234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026477319657645915,0.0,10.6907069601526,0.0
