case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp3.00,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1000.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.5282878140038734,13.028162296465561,0.0,0.0,0.0,0.0,0.0,0.26206562284822277,0.0,0.0,0.4449463450920229,0.5550362636821609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391225816368022e-05,0.2525897036567833,5.019081938359028,0.0
exp2.95,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,891.251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.2640599462276416,13.138199159379067,0.0,0.0,0.0,0.0,0.0,0.25994211495926867,0.0,0.0,0.4398819416794469,0.5600985129570304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9545363522885e-05,0.183889744588312,5.062189958066962,0.0
exp2.90,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,794.328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.284909481525363,13.025703920158708,0.0,0.0,0.0,0.0,0.0,0.2579560740034972,0.0,0.0,0.44051162480547995,0.5594670791960186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1295998501508234e-05,0.18908061586559027,5.0135749321502825,0.0
exp2.85,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,707.946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.155871669150365,12.807737801836236,0.0,0.0,0.0,0.0,0.0,0.25583815786538266,0.0,0.0,0.4234908593826449,0.5764806456493259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8494968029326235e-05,0.1699702245818892,4.904429150981156,0.0
exp2.80,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,630.957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.307717542104117,12.389163524489721,0.0,0.0,0.0,0.0,0.0,0.25333061900085485,0.0,0.0,0.42553449529156806,0.5744305049496042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4999758827623636e-05,0.21010506082008673,4.720425975828321,0.0
exp2.75,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,562.341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.323099560294115,12.042925026695524,0.0,0.0,0.0,0.0,0.0,0.25044935922682265,0.0,0.0,0.4296517495048359,0.5703047096650804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35408300838104e-05,0.21016849057654033,4.573795137194982,0.0
exp2.70,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,501.187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.3348877782122095,11.957386183246154,0.0,0.0,0.0,0.0,0.0,0.2476720667812727,0.0,0.0,0.43125162743844514,0.5687026917991955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.568076235920934e-05,0.21179754939361706,4.539812431294397,0.0
exp2.65,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,446.684,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.499117028241399,11.583034341666046,0.0,0.0,0.0,0.0,0.0,0.2450464143408076,0.0,0.0,0.45136414626747917,0.5485825716274729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32821050478471e-05,0.23736092916083557,4.399649204870784,0.0
exp2.60,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,398.10699999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.37884444726073,11.622370457733679,0.0,0.0,0.0,0.0,0.0,0.24242387634717769,0.0,0.0,0.4397896655930458,0.5601542479245385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60864824156418e-05,0.21545969490366684,4.404577599703339,0.0
exp2.55,0.0,-1.0,-1.0,0.0147721,0.0159137,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,354.81300000000005,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.4275386562212704,0.0,0.0,2.4902032849767397,11.123556533188582,0.0,0.0,0.0,0.0,0.0,0.23943988564265206,0.0,0.0,0.44320611531347154,0.5567216285915804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225609494805801e-05,0.2428867578801334,4.189016086540214,0.0
