c-unmet,losses-v,losses-d,cost-of-E-v,cost-of-E-d,system-cost-v,system-cost-d
0.01,0.007745967,0.0108,0.007745967,-0.0036,0.015491933,0.0072
0.011220185,0.008204944,0.00962551,0.008204944,-0.00125102,0.016409888,0.00837449
0.012589254,0.008691118,0.008578745,0.008691118,0.00084251,0.017382235,0.009421255
0.014125375,0.009206099,0.007645814,0.009206099,0.002708371,0.018412197,0.010354186
0.015848932,0.009751594,0.006814339,0.009751594,0.004371321,0.019503189,0.011185661
0.017782794,0.010329413,0.006073286,0.010329413,0.005853427,0.020658825,0.011926714
0.019952623,0.010941469,0.005412822,0.010941469,0.007174356,0.021882938,0.012587178
0.022387211,0.011589792,0.004824183,0.011589792,0.008351634,0.023179583,0.013175817
0.025118864,0.01227653,0.004299557,0.01227653,0.009400885,0.02455306,0.013700443
0.028183829,0.01300396,0.003831985,0.01300396,0.010336031,0.02600792,0.014168015
0.031622777,0.013774493,0.00341526,0.013774493,0.01116948,0.027548986,0.01458474
0.035481339,0.014590683,0.003043854,0.014590683,0.011912293,0.029181366,0.014956146
0.039810717,0.015455235,0.002712837,0.015455235,0.012574325,0.030910471,0.015287163
0.044668359,0.016371016,0.002417819,0.016371016,0.013164362,0.032742031,0.015582181
0.050118723,0.017341059,0.002154883,0.017341059,0.013690233,0.034682119,0.015845117
0.056234133,0.018368582,0.001920542,0.018368582,0.014158916,0.036737163,0.016079458
0.063095734,0.019456989,0.001711685,0.019456989,0.014576631,0.038913977,0.016288315
0.070794578,0.020609888,0.001525541,0.020609888,0.014948919,0.041219775,0.016474459
0.079432823,0.0218311,0.001359639,0.0218311,0.015280721,0.043662201,0.016640361
0.089125094,0.023124674,0.00121178,0.023124674,0.01557644,0.046249349,0.01678822
0.1,0.024494897,0.00108,0.024494897,0.01584,0.048989795,0.01692
0.112201845,0.025946311,0.000962551,0.025946311,0.016074898,0.051892623,0.017037449
0.125892541,0.027483727,0.000857874,0.027483727,0.016284251,0.054967454,0.017142126
0.141253754,0.02911224,0.000764581,0.02911224,0.016470837,0.05822448,0.017235419
0.158489319,0.030837249,0.000681434,0.030837249,0.016637132,0.061674498,0.017318566
0.177827941,0.032664471,0.000607329,0.032664471,0.016785343,0.065328941,0.017392671
0.199526231,0.034599962,0.000541282,0.034599962,0.016917436,0.069199925,0.017458718
0.223872114,0.036650139,0.000482418,0.036650139,0.017035163,0.073300278,0.017517582
0.251188643,0.038821796,0.000429956,0.038821796,0.017140089,0.077643592,0.017570044
0.281838293,0.041122132,0.000383198,0.041122132,0.017233603,0.082244264,0.017616802
0.316227766,0.043558772,0.000341526,0.043558772,0.017316948,0.087117543,0.017658474
0.354813389,0.046139791,0.000304385,0.046139791,0.017391229,0.092279582,0.017695615
0.398107171,0.048873746,0.000271284,0.048873746,0.017457433,0.097747491,0.017728716
0.446683592,0.051769697,0.000241782,0.051769697,0.017516436,0.103539394,0.017758218
0.501187234,0.054837245,0.000215488,0.054837245,0.017569023,0.109674489,0.017784512
0.562341325,0.058086556,0.000192054,0.058086556,0.017615892,0.116173111,0.017807946
0.630957344,0.0615284,0.000171168,0.0615284,0.017657663,0.123056801,0.017828832
0.707945784,0.065174187,0.000152554,0.065174187,0.017694892,0.130348375,0.017847446
0.794328235,0.069036001,0.000135964,0.069036001,0.017728072,0.138072002,0.017864036
0.891250938,0.073126641,0.000121178,0.073126641,0.017757644,0.146253282,0.017878822
1,0.077459667,0.000108,0.077459667,0.017784,0.154919334,0.017892
1.122018454,0.082049441,9.62551E-05,0.082049441,0.01780749,0.164098881,0.017903745
1.258925412,0.086911176,8.57874E-05,0.086911176,0.017828425,0.173822352,0.017914213
1.412537545,0.092060987,7.64581E-05,0.092060987,0.017847084,0.184121973,0.017923542
1.584893192,0.097515943,6.81434E-05,0.097515943,0.017863713,0.195031886,0.017931857
1.77827941,0.103294126,6.07329E-05,0.103294126,0.017878534,0.206588252,0.017939267
1.995262315,0.109414688,5.41282E-05,0.109414688,0.017891744,0.218829375,0.017945872
2.238721139,0.115897916,4.82418E-05,0.115897916,0.017903516,0.231795831,0.017951758
2.511886432,0.122765299,4.29956E-05,0.122765299,0.017914009,0.245530598,0.017957004
2.818382931,0.1300396,3.83198E-05,0.1300396,0.01792336,0.2600792,0.01796168
3.16227766,0.137744931,3.41526E-05,0.137744931,0.017931695,0.275489862,0.017965847
3.548133892,0.145906831,3.04385E-05,0.145906831,0.017939123,0.291813662,0.017969561
3.981071706,0.154552354,2.71284E-05,0.154552354,0.017945743,0.309104709,0.017972872
4.466835922,0.163710157,2.41782E-05,0.163710157,0.017951644,0.327420314,0.017975822
5.011872336,0.173410594,2.15488E-05,0.173410594,0.017956902,0.346821187,0.017978451
5.623413252,0.183685817,1.92054E-05,0.183685817,0.017961589,0.367371635,0.017980795
6.309573445,0.194569886,1.71168E-05,0.194569886,0.017965766,0.389139773,0.017982883
7.079457844,0.206098877,1.52554E-05,0.206098877,0.017969489,0.412197754,0.017984745
7.943282347,0.218311003,1.35964E-05,0.218311003,0.017972807,0.436622006,0.017986404
